,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
697,Yadaly Diaby,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2000,0.7,20,19,1,0,0,5,0,0,0,0,0,0,18,1,1,4,15,0,0,0,12,0,0,3,0,Matches,5630a6e0
698,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,24,1996,21.6,700,663,37,30,1,90,34,3,0,0,0,0,441,60,199,68,556,50,2,1,542,0,26,12,12,Matches,d2110326
699,Ibrahim Diakité,fr FRA,MF,Reims,fr Ligue 1,17,2003,0.0,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,0,Matches,d8c19a60
700,Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996,9.7,699,635,64,13,0,60,11,14,0,0,0,0,551,85,63,558,70,9,51,1,625,1,6,17,8,Matches,fc62f087
701,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,373,358,15,1,1,122,4,8,0,0,0,0,240,75,58,40,266,15,1,17,267,1,2,19,21,Matches,6605d143
702,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,22,1999,11.4,438,433,5,5,1,86,5,7,0,0,0,0,344,40,54,43,369,17,0,0,357,1,7,18,14,Matches,11ff3d56
703,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,17,2004,1.2,59,59,0,0,0,10,2,0,0,0,0,0,49,7,3,7,49,2,0,0,51,0,0,3,1,Matches,6d0fe035
704,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,5.8,198,178,20,0,1,33,5,15,9,5,1,3,139,34,25,152,31,4,8,1,142,1,4,6,14,Matches,29939a1d
705,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,24,1997,26.7,2224,2175,49,36,3,161,46,5,0,0,0,0,1924,102,198,341,1769,64,12,4,2097,2,13,18,11,Matches,31c69ef1
706,Krepin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22,1999,3.2,106,106,0,0,0,31,1,4,0,0,0,0,70,24,12,15,73,10,0,1,83,0,0,6,5,Matches,8104e41e
707,Amadou Diawara,gn GUI,MF,Roma,it Serie A,24,1997,1.9,70,67,3,2,0,14,0,0,0,0,0,0,51,8,11,6,58,3,1,0,55,0,0,3,2,Matches,bf309d24
708,Brahim Díaz,es ESP,MF,Milan,it Serie A,21,1999,20.6,730,698,32,5,1,122,13,16,3,0,0,0,599,72,59,243,462,11,2,6,616,9,2,33,12,Matches,407feb71
709,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1.0,33,27,6,3,0,2,1,0,0,0,0,0,21,1,11,2,28,0,0,2,28,0,1,0,0,Matches,17a1299d
710,Luis Díaz,co COL,FW,Liverpool,eng Premier League,24,1997,10.6,448,447,1,0,2,75,7,22,0,0,0,0,366,44,38,62,360,14,1,5,394,0,2,18,7,Matches,4a1a9578
711,Víctor Díaz,es ESP,DF,Granada,es La Liga,33,1988,16.7,693,637,56,18,1,78,23,9,0,0,0,0,394,84,215,47,539,51,34,2,526,4,19,15,12,Matches,3624ce4c
712,Daniel Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31,1990,3.1,114,103,11,4,0,30,1,5,1,1,0,0,81,20,13,98,8,2,3,1,80,0,1,7,8,Matches,d3096421
713,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,10.8,197,187,10,1,2,47,2,6,0,0,0,0,146,34,17,25,153,5,1,6,145,0,2,14,12,Matches,40774c6b
714,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,27,1994,34.1,2226,2174,52,42,4,163,59,3,0,0,0,0,1760,120,346,302,1776,91,5,6,1969,7,27,36,16,Matches,ac861941
715,Elhadji Dieye,sn SEN,MFFW,Saint-Étienne,fr Ligue 1,19,2002,0.4,9,7,2,0,0,3,1,1,0,0,0,0,4,3,2,0,5,1,2,0,4,0,1,1,0,Matches,6a04bb7c
716,Lucas Digne,fr FRA,DF,Everton,eng Premier League,28,1993,13.0,678,515,163,23,0,90,16,34,21,3,13,1,335,140,203,464,29,47,119,2,487,3,19,26,35,Matches,1b84dbe1
717,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,28,1993,14.1,823,628,195,19,0,107,32,62,39,13,12,2,440,185,198,607,28,33,137,2,632,0,12,25,30,Matches,1b84dbe1
718,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,28,1993,7.7,346,268,78,2,0,43,3,18,0,0,0,0,200,74,72,212,43,8,76,2,265,0,2,11,19,Matches,0a3065c8
719,Javairô Dilrosun,nl NED,MFFW,Bordeaux,fr Ligue 1,23,1998,19.2,602,533,69,23,1,129,23,25,37,19,12,2,413,75,114,482,81,22,6,2,447,4,7,25,23,Matches,34a0f5ff
720,Javairô Dilrosun,nl NED,FW,Hertha BSC,de Bundesliga,23,1998,1.5,34,34,0,0,0,12,1,0,0,0,0,0,26,5,3,25,8,1,0,0,26,0,2,0,2,Matches,34a0f5ff
721,Federico Dimarco,it ITA,DF,Inter,it Serie A,23,1997,15.9,1212,1024,188,37,2,101,68,57,73,17,45,1,783,155,274,1044,87,10,62,2,996,2,16,27,35,Matches,970b8574
722,Landry Dimata,be BEL,FWMF,Espanyol,es La Liga,23,1997,6.0,99,94,5,0,0,37,1,1,0,0,0,0,68,17,14,36,43,5,0,0,71,0,0,2,6,Matches,b5f63410
723,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,955,624,331,101,0,58,27,0,0,0,0,0,306,41,608,37,701,2,1,149,538,6,30,9,2,Matches,fc70e345
724,Junior Dina Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,20,2000,3.5,213,212,1,1,0,36,6,1,0,0,0,0,196,12,5,23,187,2,0,0,192,0,2,7,6,Matches,95bb6ddc
725,Tristan Dingomé,cm CMR,MFFW,Troyes,fr Ligue 1,30,1991,12.0,536,494,42,12,2,86,17,22,22,17,0,1,365,86,85,423,80,14,7,3,403,7,9,25,10,Matches,92b56413
726,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,20,2001,6.4,468,459,9,8,0,19,16,0,0,0,0,0,416,18,34,35,420,6,1,1,440,0,3,8,0,Matches,6de23ab0
727,Issa Diop,fr FRA,DF,West Ham,eng Premier League,24,1997,10.7,469,455,14,7,1,48,5,1,0,0,0,0,362,26,81,92,336,24,1,3,404,0,9,4,1,Matches,a712ca2b
728,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,21.6,981,880,101,31,8,183,49,50,56,25,18,3,672,129,180,60,864,25,13,7,725,4,16,58,28,Matches,19053e31
729,Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,18,2003,0.2,9,8,1,1,0,0,0,0,0,0,0,0,8,0,1,9,0,0,0,0,7,0,0,1,0,Matches,9b5237b1
730,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,0.3,37,34,3,3,0,6,1,0,0,0,0,0,31,3,3,31,4,0,0,0,34,0,0,0,0,Matches,7f622eef
731,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,23,1998,30.2,1741,1703,38,35,1,146,39,2,0,0,0,0,1380,124,237,123,1485,83,3,4,1536,5,29,34,11,Matches,ad82197c
732,Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,17,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches,2110f96c
733,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38.0,1460,1065,395,112,1,105,44,0,0,0,0,0,552,67,841,46,1160,2,0,129,926,6,51,17,5,Matches,b6160ad0
734,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,21,2000,25.9,1516,1332,184,31,2,128,29,6,0,0,0,0,1133,209,174,182,1127,36,153,3,1331,1,21,34,29,Matches,b2336681
735,Djené,tg TOG,DF,Getafe,es La Liga,29,1991,34.6,1331,1294,37,33,0,176,29,11,0,0,0,0,853,131,347,246,928,108,4,2,1035,1,22,25,35,Matches,a4971d84
736,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23,1998,5.1,149,148,1,1,0,26,1,6,0,0,0,0,106,21,22,26,116,5,0,0,111,0,3,5,11,Matches,254147d4
737,Koffi Djidji,ci CIV,DF,Torino,it Serie A,28,1992,19.3,828,778,50,33,0,81,16,11,0,0,0,0,607,69,152,38,698,43,16,6,700,2,21,10,9,Matches,933d3b51
738,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,29.9,1614,1538,76,53,2,155,81,11,0,0,0,0,1083,144,387,286,1198,73,4,2,1369,6,15,43,15,Matches,43e7a164
739,Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,0.6,29,20,9,1,0,3,1,1,0,0,0,0,15,10,4,1,19,1,8,0,22,0,0,2,1,Matches,75186a6a
740,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,28,1993,25.1,1427,1342,85,42,1,160,30,10,0,0,0,0,1038,156,233,344,928,62,43,5,1213,3,24,36,23,Matches,6eee05f1
741,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,734,506,228,73,0,40,14,0,0,0,0,0,357,19,358,404,166,0,0,104,493,0,26,6,1,Matches,62124972
742,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,es La Liga,21,1999,2.4,98,94,4,0,1,19,3,11,2,0,1,0,70,14,14,10,80,4,1,1,70,0,3,8,3,Matches,3594a357
743,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6.0,224,181,43,10,0,14,8,0,0,0,0,0,155,8,61,138,55,0,0,25,187,0,8,1,0,Matches,ac295d9e
744,Lewis Dobbin,eng ENG,FWMF,Everton,eng Premier League,18,2003,0.4,7,7,0,0,0,2,0,1,0,0,0,0,4,2,1,0,7,0,0,0,4,0,0,1,0,Matches,e814e1cf
745,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,29,1992,9.7,538,473,65,5,2,72,13,20,0,0,0,0,372,97,69,30,418,16,60,1,440,1,5,29,17,Matches,d557d734
746,Jeremy Doku,be BEL,FWMF,Rennes,fr Ligue 1,19,2002,5.2,165,165,0,0,0,32,1,18,0,0,0,0,134,21,10,32,125,5,0,0,121,0,8,9,7,Matches,fffea3e5
747,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23,1997,16.6,243,235,8,0,0,73,2,3,0,0,0,0,155,55,33,22,180,15,1,6,175,0,7,16,8,Matches,cc83b74d
748,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,3.8,107,61,46,14,0,9,2,0,0,0,0,0,27,5,75,8,83,0,0,8,66,0,3,0,1,Matches,c9cb972b
749,Brandon Domingues,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,2.6,92,87,5,2,0,6,3,7,1,1,0,0,68,10,14,11,75,4,2,0,69,0,0,4,5,Matches,2a00c6c0
750,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,20,2001,3.8,166,162,4,4,2,25,4,0,0,0,0,0,111,15,40,118,29,12,0,0,130,1,3,2,2,Matches,3521abfe
751,Mario Dominguez,es ESP,FW,Valencia,es La Liga,17,2004,0.3,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,0,0,0,0,Matches,d709cd5c
752,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23,1998,22.4,1196,1140,56,39,3,176,40,9,0,0,0,0,787,189,220,231,872,65,3,3,982,3,17,42,28,Matches,20b3a502
753,John Donald,es ESP,DF,Elche,es La Liga,20,2000,2.0,89,84,5,2,0,10,0,0,0,0,0,0,71,2,16,12,66,6,3,0,78,1,1,0,0,Matches,5e95c000
754,Lee Dongjun,kr KOR,MF,Hertha BSC,de Bundesliga,24,1997,1.3,18,18,0,0,0,4,0,2,0,0,0,0,9,5,4,6,11,1,0,0,13,0,1,0,1,Matches,96d0b6f0
755,Anastasios Donis,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,4.1,93,90,3,1,0,25,4,18,0,0,0,0,47,28,18,27,58,4,2,0,51,1,2,9,5,Matches,0f26fd24
756,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17.0,467,351,116,16,0,39,6,0,0,0,0,0,367,29,71,57,299,3,1,102,426,0,5,5,0,Matches,08f5afaa
757,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,23,1998,25.8,1100,1016,84,64,1,225,81,2,17,5,11,0,758,95,247,116,918,44,2,2,915,5,25,28,22,Matches,7f73bdf4
758,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,23,1997,34.0,2002,1943,59,36,1,178,38,4,0,0,0,0,1652,136,214,1748,144,65,4,10,1796,6,29,25,13,Matches,67ac5bb8
759,Jodel Dossou,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22.3,573,562,11,1,0,127,13,49,1,0,0,0,455,74,44,33,508,10,9,6,414,1,15,28,39,Matches,a1dbfcb1
760,Lohann Doucet,fr FRA,MF,Nantes,fr Ligue 1,18,2002,0.1,9,9,0,0,0,1,2,0,0,0,0,0,7,0,2,3,6,0,0,0,6,0,0,1,0,Matches,dff0c299
761,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,1095,1076,19,12,2,248,12,8,0,0,0,0,805,160,130,108,887,56,2,5,877,2,17,44,33,Matches,02b29014
762,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,21,2000,32.7,1940,1911,29,27,10,316,40,3,0,0,0,0,1578,180,182,112,1730,63,0,14,1699,4,17,69,28,Matches,ce4f40c7
763,Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,20,2001,1.7,80,65,15,0,0,12,0,3,0,0,0,0,42,24,14,12,48,5,15,0,57,0,2,7,4,Matches,1bfe34dc
764,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0.2,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,Matches,0512a60a
765,Kamory Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,3.9,169,159,10,4,1,34,8,3,6,3,1,1,123,18,28,24,133,9,0,0,138,1,5,7,4,Matches,9226aa22
766,Moussa Doumbia,ml MLI,FW,Reims,fr Ligue 1,26,1994,1.0,36,33,3,1,0,7,0,1,1,1,0,0,27,5,4,3,30,1,0,2,27,0,1,1,2,Matches,6481421d
767,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,24,1996,24.7,1102,917,185,7,0,136,10,44,0,0,0,0,762,227,113,762,131,18,178,2,915,2,15,35,44,Matches,9daeac61
768,Kieran Dowell,eng ENG,FWMF,Norwich City,eng Premier League,23,1997,10.1,342,312,30,11,3,71,15,20,16,12,3,0,224,35,83,260,51,15,0,4,235,2,5,18,18,Matches,2f6ec02a
769,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,344,297,47,8,0,22,14,0,0,0,0,0,212,15,117,35,280,0,0,23,271,1,13,2,1,Matches,085e71a7
770,Radu Drăgușin,ro ROU,DF,Sampdoria,it Serie A,19,2002,6.9,258,211,47,9,0,31,3,3,0,0,0,0,129,44,85,16,167,25,38,0,179,1,7,5,6,Matches,620922ed
771,Radu Drăgușin,ro ROU,DF,Salernitana,it Serie A,19,2002,5.4,158,139,19,15,0,22,1,0,0,0,0,0,106,20,32,10,129,8,4,2,130,0,3,6,4,Matches,620922ed
772,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,19,2001,1.4,77,51,26,1,0,6,0,2,0,0,0,0,38,25,14,2,46,3,25,1,60,0,0,3,5,Matches,e0d1510a
773,Julian Draxler,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,6.1,302,295,7,1,1,53,8,4,3,2,0,0,263,22,17,32,266,0,2,0,275,3,3,9,1,Matches,1a992676
774,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16.0,421,243,178,44,0,21,10,0,0,0,0,0,176,22,223,23,331,1,0,44,271,1,7,3,4,Matches,fbf83734
775,Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,18.7,702,666,36,33,0,96,24,0,0,0,0,0,434,69,199,41,566,61,3,1,548,1,14,18,6,Matches,93090f69
776,Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,19.7,961,913,48,41,0,97,27,0,0,0,0,0,648,81,232,189,647,70,0,4,810,5,18,12,6,Matches,aa0ac32d
777,Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,29.1,1346,1008,338,25,0,214,39,77,12,8,3,0,536,287,523,809,113,79,301,0,914,10,33,43,47,Matches,1fe0492d
778,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19.4,1358,1164,194,21,2,125,34,58,4,0,3,0,906,235,217,131,1002,44,169,0,1138,3,18,47,24,Matches,ff0ab48c
779,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26.0,845,503,342,105,0,59,23,0,0,0,0,0,304,11,530,44,669,0,0,86,535,5,18,5,2,Matches,3a949a25
780,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,26,1994,17.9,681,625,56,12,3,137,21,13,18,4,9,0,424,134,123,95,522,34,5,6,506,7,23,38,23,Matches,79ca3e23
781,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,12.6,329,287,42,14,2,87,3,23,17,13,2,0,199,57,73,268,34,14,1,0,222,3,9,19,17,Matches,5a8d6540
782,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,16.0,1007,987,20,12,0,82,26,0,0,0,0,0,791,64,152,71,839,57,7,3,894,1,16,13,6,Matches,7314bba4
783,Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1.0,50,50,0,0,0,6,1,0,0,0,0,0,32,2,16,3,38,5,0,0,37,0,0,2,1,Matches,c261b5dd
784,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,22.5,864,720,144,1,0,129,13,52,0,0,0,0,528,180,156,95,540,47,143,3,647,4,4,35,35,Matches,481c9ece
785,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,2.2,68,49,19,1,0,7,1,3,0,0,0,0,35,11,22,40,2,5,18,0,51,0,0,4,1,Matches,3fe6bd8c
786,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,21.5,950,928,22,11,5,126,51,29,3,1,0,0,677,123,150,849,48,28,8,3,751,6,20,43,36,Matches,528492ea
787,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,28.6,1881,1823,58,53,1,140,48,6,0,0,0,0,1490,129,262,121,1638,59,4,16,1676,2,29,35,12,Matches,282f75f3
788,Milan Đurić,ba BIH,FW,Salernitana,it Serie A,31,1990,24.1,682,664,18,1,0,347,2,7,0,0,0,0,224,249,209,39,216,122,2,50,427,2,10,31,10,Matches,405f6586
789,Filip Đuričić,rs SRB,MFFW,Sassuolo,it Serie A,29,1992,7.5,226,215,11,3,1,53,2,0,0,0,0,0,184,22,20,16,198,5,4,0,184,0,1,10,14,Matches,eccbe56a
790,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,5.3,274,207,67,2,0,32,6,13,0,0,0,0,135,57,82,37,157,10,65,2,190,1,7,8,8,Matches,cf623c78
791,Hugo Duro,es ESP,FWMF,Valencia,es La Liga,21,1999,20.4,391,372,19,4,1,105,2,8,0,0,0,0,224,93,74,196,103,44,4,12,282,2,8,12,15,Matches,37e103f8
792,Hugo Duro,es ESP,DFMF,Getafe,es La Liga,21,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,3,0,0,0,1,Matches,37e103f8
793,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,24,1997,33.4,1791,1482,309,28,2,155,48,60,0,0,0,0,994,356,441,353,1047,84,281,1,1351,3,35,90,54,Matches,0cbc8baa
794,Paulo Dybala,ar ARG,FWMF,Juventus,it Serie A,27,1993,22.9,1130,1019,111,27,1,168,66,33,40,11,19,1,814,155,161,982,100,21,7,16,916,4,15,40,28,Matches,e0921a4f
795,Edin Džeko,ba BIH,FW,Inter,it Serie A,35,1986,27.4,814,786,28,1,1,233,32,37,0,0,0,0,499,149,166,179,506,44,2,20,577,2,15,55,37,Matches,3bb7f478
796,Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21.0,1080,1011,69,31,0,94,29,11,0,0,0,0,839,98,143,862,124,37,38,1,916,1,12,24,22,Matches,9ba7b4fa
797,Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,508,410,98,4,0,86,4,20,0,0,0,0,302,114,92,49,335,18,94,1,397,0,9,12,27,Matches,6af30900
798,Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,12.7,371,368,3,3,2,89,13,6,0,0,0,0,292,34,45,38,311,12,0,2,303,1,5,13,15,Matches,a9202def
799,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37.0,1089,913,176,37,2,93,31,0,0,0,0,0,794,51,244,744,177,2,1,151,976,1,16,6,1,Matches,3bb7b8b4
800,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,17.4,435,415,20,0,1,138,3,8,0,0,0,0,313,72,50,45,318,24,3,13,315,4,2,27,17,Matches,0562b7f1
801,CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches,d313e8ff
802,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,24.4,933,915,18,11,1,218,14,11,2,0,0,0,623,115,195,134,677,54,5,6,707,3,14,39,36,Matches,beb882a8
803,Lilian Egloff,de GER,FWMF,Stuttgart,de Bundesliga,18,2002,0.3,9,9,0,0,0,2,1,0,0,0,0,0,6,2,1,2,5,0,0,1,6,0,0,0,1,Matches,2f7fec15
804,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,7.6,370,293,77,5,0,54,7,16,0,0,0,0,198,74,98,13,257,16,71,1,255,0,12,13,21,Matches,76b2817e
805,Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,0.5,31,28,3,1,0,7,0,1,0,0,0,0,20,6,5,6,21,2,2,0,22,0,0,1,2,Matches,943b9602
806,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989,18.2,721,672,49,47,0,126,11,1,0,0,0,0,481,115,125,77,568,51,2,3,583,3,5,20,16,Matches,f503ea63
807,Hugo Ekitike,fr FRA,FW,Reims,fr Ligue 1,19,2002,14.1,405,377,28,3,0,115,6,10,1,0,1,0,281,70,54,41,318,22,0,1,288,1,7,26,18,Matches,5b92d896
808,Jurgen Ekkelenkamp,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,8.0,240,230,10,2,1,48,5,4,2,0,0,0,145,55,40,55,153,18,5,2,162,1,1,13,12,Matches,73d6a176
809,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,19.1,434,417,17,1,2,136,4,11,0,0,0,0,303,76,55,81,286,22,1,14,302,0,8,37,20,Matches,7afbd2c3
810,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,19,2002,13.5,441,429,12,0,1,104,6,16,0,0,0,0,329,58,54,76,316,18,12,1,346,1,4,27,16,Matches,2fba6108
811,Alberth Elis,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,15.7,322,303,19,0,0,101,6,31,0,0,0,0,205,68,49,11,268,12,5,3,200,0,7,27,27,Matches,104b4ad3
812,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,18,2003,3.8,249,241,8,0,0,23,3,7,2,1,0,0,189,30,30,220,21,3,3,2,210,2,0,7,10,Matches,c8387671
813,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21,1999,18.0,824,794,30,7,0,107,13,8,9,3,2,0,687,89,48,137,662,11,7,1,715,4,7,29,14,Matches,cf007308
814,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,9.0,554,538,16,15,1,59,4,0,0,0,0,0,460,46,48,27,498,21,0,0,518,0,1,12,3,Matches,47a34c4f
815,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,1164,1087,77,33,1,118,32,3,0,0,0,0,841,104,219,118,880,72,44,3,991,1,23,18,13,Matches,f7dc2ae5
816,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27.0,1703,1613,90,74,1,172,33,0,0,0,0,0,1467,105,131,416,1149,74,7,1,1587,0,6,19,10,Matches,48035304
817,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,252,241,11,0,0,56,2,15,0,0,0,0,193,35,24,24,205,14,1,1,168,2,8,19,11,Matches,0d7b6576
818,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,639,634,5,2,2,163,6,35,1,0,0,0,430,104,105,99,466,42,2,5,451,2,6,36,31,Matches,68dc0dac
819,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,794,641,153,40,0,148,38,77,107,36,42,2,422,128,244,116,615,30,6,9,491,6,27,26,47,Matches,db8f0eba
820,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,587,551,36,2,5,183,5,6,0,0,0,0,436,103,48,57,450,24,1,23,430,2,4,39,29,Matches,0b4f388a
821,Emerson,br BRA,DF,Tottenham,eng Premier League,22,1999,25.4,1441,1175,266,25,0,199,16,60,1,0,0,0,911,319,211,127,991,59,240,4,1178,1,13,37,57,Matches,df8b52a5
822,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1.0,69,55,14,0,0,10,1,2,0,0,0,0,48,16,5,3,51,0,14,1,58,0,0,4,3,Matches,df8b52a5
823,Renaud Emond,be BEL,MFFW,Nantes,fr Ligue 1,29,1991,2.1,33,32,1,0,0,14,0,0,0,0,0,0,14,12,7,3,21,3,0,2,23,0,0,1,0,Matches,5c9ac7f0
824,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,183,168,15,0,2,57,7,4,0,0,0,0,101,46,36,121,12,22,0,4,126,1,4,7,6,Matches,04e17fd5
825,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,23,1997,0.6,27,27,0,0,0,5,0,2,0,0,0,0,20,2,5,8,16,2,0,0,18,0,0,1,2,Matches,1a83027b
826,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,1564,1541,23,16,3,346,29,9,1,0,0,0,1133,192,239,238,1162,88,5,1,1282,9,13,49,35,Matches,c149016b
827,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,634,523,111,43,3,66,50,30,55,22,20,6,375,65,194,166,443,19,4,1,472,3,9,12,13,Matches,980522ec
