,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1432,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,30,1991,30.1,2,0,0,10,32,8,53,15,10,0,0,0,152,20,33,37.7,Matches,603cb947
1433,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,30,1991,8.3,1,0,0,19,5,0,5,14,19,0,0,0,107,12,15,44.4,Matches,496aeede
1434,Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1997,5.0,0,0,0,9,9,2,6,0,4,0,0,0,33,18,20,47.4,Matches,037f2523
1435,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,24,1997,0.1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,66.7,Matches,b804c280
1436,Toni Kroos,de GER,MF,Real Madrid,es La Liga,31,1990,23.4,4,0,0,21,42,0,31,17,31,0,0,0,136,9,12,42.9,Matches,6ce1f46f
1437,Florian Krüger,de GER,FWMF,Arminia,de Bundesliga,22,1999,12.5,0,0,0,9,12,5,20,4,5,0,1,0,68,14,23,37.8,Matches,f9f92b5f
1438,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29.0,1,0,0,0,1,0,0,0,0,0,0,1,146,0,0,,Matches,f23f9d20
1439,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,27,1993,15.7,2,0,0,25,31,1,8,21,22,0,0,0,121,29,29,50.0,Matches,817c6964
1440,Max Kruse,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,12.5,0,0,0,4,12,5,22,6,8,1,0,0,64,13,24,35.1,Matches,f9446dcd
1441,Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,33,1988,14.1,1,0,0,5,8,1,31,9,3,0,0,0,69,15,37,28.8,Matches,f9446dcd
1442,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,28,1992,25.9,2,0,0,28,24,3,34,64,32,0,0,0,229,56,45,55.4,Matches,2a29eb9b
1443,Takefusa Kubo,jp JPN,FWMF,Mallorca,es La Liga,20,2001,17.8,4,0,0,19,54,5,36,20,24,0,0,0,115,13,18,41.9,Matches,16aa3654
1444,Juraj Kucka,sk SVK,MF,Watford,eng Premier League,34,1987,21.3,5,1,1,53,49,2,10,46,47,0,1,1,235,55,58,48.7,Matches,5aaef9ef
1445,Mykola Kukharevych,ua UKR,FW,Troyes,fr Ligue 1,20,2001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches,8197a269
1446,Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,21,2000,14.0,3,0,0,25,18,4,24,26,16,0,0,0,90,5,13,27.8,Matches,df3cda47
1447,Dejan Kulusevski,se SWE,FWMF,Juventus,it Serie A,21,2000,8.6,1,0,0,32,12,3,11,15,11,0,0,0,62,11,22,33.3,Matches,df3cda47
1448,Marash Kumbulla,al ALB,DF,Roma,it Serie A,21,2000,11.4,6,0,0,26,11,0,1,18,19,0,0,0,110,34,19,64.2,Matches,a40819d9
1449,Fabian Kunze,de GER,MF,Arminia,de Bundesliga,23,1998,14.0,9,0,0,41,24,0,7,29,23,0,0,0,178,43,34,55.8,Matches,d25fee56
1450,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24,1997,22.2,6,1,1,26,17,1,27,71,31,0,0,0,167,27,23,54.0,Matches,4bf69118
1451,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1995,4.4,1,0,0,14,9,1,0,0,1,0,0,0,9,12,11,52.2,Matches,397ba086
1452,Giorgos Kyriakopoulos,gr GRE,DFFW,Sassuolo,it Serie A,25,1996,21.9,6,1,0,29,40,3,62,26,22,0,0,0,158,21,27,43.8,Matches,0a483542
1453,Andrea La Mantia,it ITA,FW,Empoli,it Serie A,30,1991,5.4,0,0,0,7,9,3,4,2,1,1,0,0,16,33,20,62.3,Matches,c375dfa5
1454,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27,1994,30.3,1,0,0,35,21,21,39,17,15,0,0,0,125,88,139,38.8,Matches,7cdda3bf
1455,Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,27,1994,3.8,1,0,0,3,3,0,5,4,1,0,0,0,19,14,16,46.7,Matches,7cdda3bf
1456,Alexandre Lacazette,fr FRA,FWMF,Arsenal,eng Premier League,30,1991,19.8,0,0,0,37,36,6,7,13,19,4,0,0,75,22,68,24.4,Matches,9dbb75ca
1457,Tom Lacoux,fr FRA,DFMF,Bordeaux,fr Ligue 1,19,2002,10.1,5,0,0,20,9,0,3,19,19,0,0,0,86,9,16,36.0,Matches,295ba708
1458,Lenny Lacroix,fr FRA,DF,Metz,fr Ligue 1,18,2003,2.2,0,0,0,1,0,0,0,14,6,0,0,0,13,9,6,60.0,Matches,5413ef36
1459,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21,2000,27.7,5,3,1,38,29,1,5,112,26,0,1,1,289,100,54,64.9,Matches,277c49ed
1460,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38.0,3,0,0,1,3,0,0,0,0,0,1,0,171,0,0,,Matches,4e7db402
1461,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,31,1989,33.8,9,0,0,27,7,4,2,44,17,0,0,0,352,84,56,60.0,Matches,b7c99b9b
1462,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,13.8,2,0,0,45,11,0,12,14,23,0,0,0,120,13,15,46.4,Matches,c1b7847c
1463,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28,1992,16.3,2,0,0,9,14,3,27,26,11,2,1,0,125,17,21,44.7,Matches,4aea5077
1464,Diego Lainez,mx MEX,FW,Betis,es La Liga,21,2000,1.6,0,0,0,4,1,0,1,0,2,0,0,0,13,1,5,16.7,Matches,bf12926c
1465,Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33,1988,17.3,4,0,0,14,23,0,8,27,22,0,0,0,186,14,13,51.9,Matches,99813635
1466,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31,1990,13.0,1,0,0,5,4,0,3,33,18,0,0,1,87,35,18,66.0,Matches,591477c9
1467,Érik Lamela,ar ARG,FW,Sevilla,es La Liga,29,1992,11.3,5,0,0,22,14,5,11,11,28,0,0,0,71,9,17,34.6,Matches,abe66106
1468,Didier Lamkel Zé,cm CMR,FW,Metz,fr Ligue 1,24,1996,6.7,2,0,0,8,15,4,6,0,2,0,0,0,33,20,30,40.0,Matches,b229aa13
1469,Sam Lammers,nl NED,FW,Eint Frankfurt,de Bundesliga,24,1997,5.7,1,0,0,7,3,1,0,4,3,0,0,0,20,28,22,56.0,Matches,c283ddef
1470,Sam Lammers,nl NED,FW,Atalanta,it Serie A,24,1997,0.4,0,0,0,2,3,0,1,0,0,0,0,0,2,2,7,22.2,Matches,c283ddef
1471,Tariq Lamptey,eng ENG,DFFW,Brighton,eng Premier League,20,2000,17.3,4,0,0,31,54,3,72,37,23,0,0,0,121,9,32,22.0,Matches,f4e433d4
1472,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28,1993,19.8,2,0,0,18,24,1,12,28,18,0,0,0,187,7,20,25.9,Matches,26f6dca8
1473,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,27,1994,31.4,5,1,0,15,13,2,5,33,17,1,0,0,288,73,36,67.0,Matches,119b9a8e
1474,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,27,1993,32.1,7,0,0,31,27,1,2,72,48,0,3,0,264,84,51,62.2,Matches,f066022d
1475,Yasser Larouci,dz ALG,DF,Troyes,fr Ligue 1,20,2001,3.8,1,0,0,2,10,0,11,9,3,1,0,0,25,4,2,66.7,Matches,0ed063d6
1476,Kevin Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,28,1992,13.2,1,0,0,18,11,12,15,7,12,1,0,0,62,39,59,39.8,Matches,09538fdb
1477,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27,1993,22.9,5,0,0,23,4,0,5,35,11,0,3,2,177,99,35,73.9,Matches,450ab6fc
1478,Bryan Lasme,fr FRA,FW,Arminia,de Bundesliga,22,1998,9.7,2,0,0,15,10,9,16,1,4,0,0,0,44,38,40,48.7,Matches,ebac0ace
1479,Paul Lasne,fr FRA,MF,Brest,fr Ligue 1,32,1989,9.4,1,0,0,11,17,0,6,27,10,0,0,0,76,7,8,46.7,Matches,542cc80f
1480,Latasa,es ESP,FW,Real Madrid,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,2bea832e
1481,Toni Lato,es ESP,DFMF,Valencia,es La Liga,23,1997,6.6,5,0,0,13,8,1,17,11,6,0,0,0,77,10,20,33.3,Matches,8e088e04
1482,Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,27.5,5,0,0,44,46,11,40,31,29,0,0,0,155,13,35,27.1,Matches,2d22cea7
1483,Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,30,1990,30.7,2,0,0,15,11,11,93,40,19,0,0,0,238,17,17,50.0,Matches,5128bde4
1484,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,27,1993,18.5,3,0,0,18,47,4,46,27,14,0,0,0,126,10,19,34.5,Matches,02caf6e0
1485,Théo Le Bris,fr FRA,MF,Lorient,fr Ligue 1,18,2002,0.7,0,0,0,0,0,0,0,1,2,0,0,0,4,1,2,33.3,Matches,afe39ca8
1486,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,23,1998,16.1,0,0,0,22,33,2,28,9,8,0,0,0,87,38,61,38.4,Matches,88c4d190
1487,Enzo Le Fée,fr FRA,MFFW,Lorient,fr Ligue 1,21,2000,24.4,2,0,0,34,55,1,33,44,47,0,0,0,192,13,23,36.1,Matches,6f806d99
1488,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34.0,1,0,0,29,21,3,65,49,40,0,0,0,249,16,41,28.1,Matches,2321ea6e
1489,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,31,1989,9.6,4,0,0,10,2,0,2,17,5,0,1,0,79,15,10,60.0,Matches,321a71a7
1490,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,24,1996,37.0,6,0,0,41,22,2,0,59,27,0,0,0,345,143,53,73.0,Matches,9a64e67e
1491,Patrick Leal,us USA,MF,Venezia,it Serie A,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,d97ec0d1
1492,Rafael Leão,pt POR,FW,Milan,it Serie A,22,1999,28.9,4,0,0,29,49,8,69,22,18,2,0,0,141,36,44,45.0,Matches,20730eae
1493,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,25.7,3,1,0,1,3,0,0,1,0,0,1,0,131,0,0,,Matches,edbe46dc
1494,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38.0,4,0,0,2,9,0,0,0,0,0,2,0,204,1,0,100.0,Matches,6c4776b1
1495,Pierre Lees-Melou,fr FRA,MF,Norwich City,eng Premier League,28,1993,25.2,5,0,0,50,25,2,30,42,40,1,0,0,230,15,23,39.5,Matches,f5044e54
1496,Wu Lei,cn CHN,FWMF,Espanyol,es La Liga,29,1991,5.3,0,0,0,7,6,5,4,5,4,0,0,0,34,12,17,41.4,Matches,e3fabb0a
1497,Maxim Leitsch,de GER,DF,Bochum,de Bundesliga,23,1998,17.1,2,0,0,8,1,1,5,52,16,0,0,0,183,44,29,60.3,Matches,7e12a98d
1498,Lucas Leiva,br BRA,MF,Lazio,it Serie A,34,1987,18.9,9,0,0,43,19,0,3,32,35,0,0,0,193,29,20,59.2,Matches,4c78b5ed
1499,Florian Lejeune,fr FRA,DF,Alavés,es La Liga,30,1991,30.0,9,1,1,37,4,2,4,61,21,0,2,0,319,91,47,65.9,Matches,6eaed4eb
1500,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,28,1993,21.4,3,0,0,22,12,0,48,37,25,0,0,0,216,23,23,50.0,Matches,59b7d823
1501,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25,1995,16.0,2,0,0,14,28,2,54,18,16,0,2,0,117,14,12,53.8,Matches,4dbd0916
1502,Félix Lemaréchal,ci CIV,MF,Monaco,fr Ligue 1,17,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,8ca9415f
1503,Mario Lemina,ga GAB,MF,Nice,fr Ligue 1,27,1993,21.9,7,1,1,39,27,0,6,49,44,0,0,0,195,28,13,68.3,Matches,2b471f99
1504,Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34,1987,12.4,5,0,0,28,19,0,4,19,28,0,0,0,144,10,11,47.6,Matches,54d51e22
1505,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,19,2002,1.7,0,0,0,5,2,0,4,1,4,0,0,0,15,4,12,25.0,Matches,792ffa71
1506,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,18,2003,1.5,2,0,0,3,0,0,0,10,5,0,0,0,6,2,0,100.0,Matches,755da865
1507,Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,26,1995,9.2,4,0,0,20,5,0,0,15,13,0,1,0,97,22,28,44.0,Matches,4f28a6ff
1508,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,34,1987,17.2,2,0,0,23,25,4,30,15,18,0,1,0,91,10,26,27.8,Matches,2ff964a0
1509,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches,2628fd2b
1510,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,26,1994,7.4,6,0,0,16,5,0,17,14,12,0,0,0,81,17,12,58.6,Matches,bbd86530
1511,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,21,2000,7.0,3,0,0,27,4,0,3,6,15,0,0,0,67,9,7,56.3,Matches,fcc84a07
1512,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,96fcd380
1513,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,2,0,0,25,44,20,29,12,8,1,0,0,148,70,73,49.0,Matches,8d78e732
1514,Jamie Leweling,de GER,FWDF,Greuther Fürth,de Bundesliga,20,2001,21.8,3,0,0,18,52,17,40,21,10,1,0,0,115,19,73,20.7,Matches,13fe7b69
1515,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23,1998,2.9,1,0,0,2,3,0,3,6,6,0,0,0,23,2,6,25.0,Matches,efb9215a
1516,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,5.5,2,0,0,0,1,0,0,0,0,0,0,0,32,0,0,,Matches,c9c32262
1517,Ben Lhassine Kone,ci CIV,MF,Torino,it Serie A,21,2000,0.9,0,0,0,2,0,0,0,1,2,0,1,0,9,1,0,100.0,Matches,7452c7a8
1518,Yanis Lhery,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2003,0.8,0,0,0,1,1,0,0,1,1,0,0,0,6,2,4,33.3,Matches,cc972842
1519,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,33,1988,22.7,8,0,0,35,27,4,116,35,37,1,0,0,213,22,25,46.8,Matches,f7691f63
1520,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,25,1996,31.9,2,0,0,19,30,1,6,78,13,0,1,0,353,94,57,62.3,Matches,302527b2
1521,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21,1999,29.7,4,1,1,32,17,2,5,42,23,0,0,0,248,109,51,68.1,Matches,d6e53a3a
1522,Isaac Lihadji,fr FRA,MFFW,Lille,fr Ligue 1,19,2002,2.6,1,0,0,4,5,0,8,4,2,1,0,0,26,1,4,20.0,Matches,57a46f3f
1523,Anderson Lima,br BRA,MF,Lazio,it Serie A,21,1999,0.7,1,0,0,2,6,0,1,2,2,0,0,0,3,0,0,,Matches,59be3a74
1524,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12.0,0,0,0,0,1,0,0,0,0,0,0,0,72,0,0,,Matches,4d6a842d
1525,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,27,1994,26.2,4,0,0,24,8,2,0,51,10,0,0,0,252,63,32,66.3,Matches,f5deef4c
1526,Jesper Lindstrøm,dk DEN,FWMF,Eint Frankfurt,de Bundesliga,21,2000,22.0,0,0,0,26,15,3,48,40,21,0,0,0,127,10,51,16.4,Matches,37dc1a48
1527,Karol Linetty,pl POL,MFFW,Torino,it Serie A,26,1995,10.0,2,0,0,36,9,0,3,8,8,0,0,0,72,7,27,20.6,Matches,d023d70f
1528,Jesse Lingard,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4.1,1,0,0,6,5,1,8,4,6,0,0,0,26,0,1,0.0,Matches,810e3c74
1529,Pol Lirola,es ESP,DFMF,Marseille,fr Ligue 1,23,1997,19.7,1,0,0,12,16,10,66,28,17,0,0,0,118,16,11,59.3,Matches,ff800ed8
1530,Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,24.5,2,0,0,17,40,1,55,73,30,1,0,0,218,27,34,44.3,Matches,afed6722
1531,Dejan Ljubicic,at AUT,MFFW,Köln,de Bundesliga,23,1997,21.9,4,0,0,34,23,3,47,20,21,0,0,0,174,11,32,25.6,Matches,c455a2b2
1532,Javier Llabrés,,FWMF,Mallorca,es La Liga,,,1.5,0,0,0,0,1,1,5,0,3,0,0,0,8,1,3,25.0,Matches,38b0cf42
1533,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,27,1993,26.0,7,0,0,29,27,0,2,61,35,0,0,0,275,64,64,50.0,Matches,bba30585
1534,Marcos Llorente,es ESP,DFMF,Atlético Madrid,es La Liga,26,1995,27.2,5,0,0,30,27,7,74,42,33,0,1,0,216,25,29,46.3,Matches,02c15616
1535,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38.0,2,0,0,0,3,0,0,0,0,0,0,0,156,0,1,0.0,Matches,8f62b6ee
1536,Giovani Lo Celso,ar ARG,MFFW,Tottenham,eng Premier League,25,1996,2.6,0,0,0,5,7,1,1,3,3,0,0,0,19,0,3,0.0,Matches,d7553721
1537,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,25,1996,11.0,3,0,0,21,48,3,7,7,14,0,0,0,82,6,7,46.2,Matches,d7553721
1538,Julen Lobete,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,3.2,0,0,0,8,13,5,0,0,3,0,0,0,16,4,9,30.8,Matches,a952a529
1539,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,26,1994,18.7,2,0,0,18,42,0,1,28,30,0,0,0,164,13,12,52.0,Matches,e1cbb531
1540,Jürgen Locadia,nl NED,FW,Brighton,eng Premier League,27,1993,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,Matches,6cc47ae1
1541,Jürgen Locadia,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,0,0,0,11,9,4,3,4,5,0,0,0,21,12,27,30.8,Matches,6cc47ae1
1542,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,23,1998,24.0,6,0,0,42,29,2,8,38,31,0,0,0,221,35,26,57.4,Matches,a8a874f1
1543,Banzouzi Locko,fr FRA,DFMF,Reims,fr Ligue 1,19,2002,11.2,4,0,0,17,12,2,11,16,18,0,0,0,93,15,16,48.4,Matches,40221fa7
1544,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,4,0,0,23,24,3,41,27,17,0,1,0,94,24,28,46.2,Matches,ed9f7cfe
1545,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,1,0,0,24,51,2,10,15,20,0,0,0,156,41,12,77.4,Matches,e97fd090
1546,Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,1,0,0,6,1,1,0,7,5,0,0,0,32,14,4,77.8,Matches,5a4280b1
1547,Shane Long,ie IRL,FW,Southampton,eng Premier League,34,1987,3.4,1,0,0,9,9,3,4,1,3,0,0,0,15,27,27,50.0,Matches,9f472354
1548,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23,1997,16.3,1,0,0,26,20,0,5,20,33,0,0,0,156,14,15,48.3,Matches,a2b105e0
1549,Ademola Lookman,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,2,0,0,30,40,6,22,20,25,0,0,0,112,4,17,19.0,Matches,7c104bb7
1550,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,1,1,0,0,4,0,0,0,0,0,0,0,140,0,1,0.0,Matches,f00de885
1551,David López,es ESP,MFDF,Espanyol,es La Liga,31,1989,8.3,1,0,0,12,7,0,0,11,17,0,0,0,89,26,26,50.0,Matches,f03f284b
1552,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,4,0,0,0,6,0,0,0,0,0,0,0,189,0,0,,Matches,73683fa9
1553,Javi López,es ESP,DF,Alavés,es La Liga,19,2002,5.1,2,0,0,8,12,0,10,10,7,0,0,0,19,3,6,33.3,Matches,e9ada8cf
1554,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,23,1997,32.6,14,0,0,41,34,0,12,59,45,0,0,0,299,7,9,43.8,Matches,20094685
1555,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29.0,4,0,0,0,3,0,0,0,0,0,0,0,164,0,0,,Matches,20b9f052
1556,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,25,1995,12.9,5,0,0,31,22,4,12,21,18,0,0,0,108,9,21,30.0,Matches,88050721
1557,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,19,2002,18.2,4,0,0,41,19,1,0,32,38,0,1,0,134,20,19,51.3,Matches,64c14d49
1558,Samuel Loric,fr FRA,DF,Lorient,fr Ligue 1,21,2000,3.0,0,0,0,4,5,1,10,10,3,0,1,0,23,12,1,92.3,Matches,9004f318
1559,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,35,1986,32.6,5,0,0,55,23,2,9,74,56,0,0,0,455,133,69,65.8,Matches,07c7eb0c
1560,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches,939bc634
1561,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,1,0,0,0,5,1,0,0,0,0,0,0,58,0,0,,Matches,5584552e
1562,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22,1998,19.8,4,0,0,12,25,2,38,21,17,0,0,0,134,16,17,48.5,Matches,fc4cf6a7
1563,Johaneko Louisjean,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,9af3613f
1564,Imran Louza,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,6,0,0,35,17,0,19,48,32,0,0,0,192,11,17,39.3,Matches,e1df6989
1565,Matteo Lovato,it ITA,DFMF,Atalanta,it Serie A,21,2000,3.4,1,0,0,5,2,0,1,6,3,0,0,0,34,14,3,82.4,Matches,5fa57166
1566,Matteo Lovato,it ITA,DF,Cagliari,it Serie A,21,2000,13.8,4,0,0,16,16,0,0,47,23,0,1,0,183,37,29,56.1,Matches,5fa57166
1567,Eduard Löwen,de GER,MF,Bochum,de Bundesliga,24,1997,15.7,0,0,0,22,13,1,37,19,26,0,1,0,136,29,36,44.6,Matches,70678132
1568,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,32,1989,19.7,3,1,0,18,8,0,39,34,26,0,0,0,182,31,26,54.4,Matches,9a9c05db
1569,Anthony Lozano,hn HON,FWMF,Cádiz,es La Liga,28,1993,18.6,8,0,0,49,42,9,23,8,9,4,0,0,77,51,78,39.5,Matches,38699c72
1570,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,26,1995,17.9,3,0,0,32,39,14,43,14,14,1,0,0,95,11,18,37.9,Matches,a69e4806
1571,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,23,1998,16.1,3,1,1,33,27,2,32,31,36,0,0,0,149,12,31,27.9,Matches,a99138af
1572,Anderson Lucoqui,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,8.3,2,0,0,17,16,0,11,12,17,0,0,0,50,5,8,38.5,Matches,5569bf9a
1573,Florentino Luís,pt POR,MF,Getafe,es La Liga,21,1999,11.0,2,0,0,28,4,0,3,31,27,0,0,0,124,26,22,54.2,Matches,881cd6be
1574,José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,20.8,8,2,1,35,23,4,62,39,12,1,1,0,138,15,27,35.7,Matches,b05e2dbd
1575,José Luis Morales,es ESP,FWMF,Levante,es La Liga,34,1987,30.2,7,0,0,33,46,15,77,16,16,1,0,0,183,22,35,38.6,Matches,4a478107
1576,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,31,1990,29.7,9,0,0,39,20,1,7,93,66,0,0,0,423,135,52,72.2,Matches,921f6058
1577,Luismi,es ESP,FW,Sevilla,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,acf5410c
1578,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,23,1998,30.2,7,0,0,51,45,0,27,61,43,0,0,0,285,37,31,54.4,Matches,6f7d826d
1579,Romelu Lukaku,be BEL,FW,Chelsea,eng Premier League,28,1993,17.7,1,0,0,8,14,14,9,1,3,3,0,0,49,48,50,49.0,Matches,5eae500a
1580,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,18,2002,23.3,1,0,0,19,16,1,0,69,20,0,2,0,236,57,39,59.4,Matches,5b9512c5
1581,Dodi Lukebakio,be BEL,FW,Hertha BSC,de Bundesliga,23,1997,2.0,0,0,0,6,6,1,1,1,4,1,0,0,5,2,2,50.0,Matches,0c61c77c
1582,Dodi Lukebakio,be BEL,FWMF,Wolfsburg,de Bundesliga,23,1997,9.8,2,0,0,16,15,11,17,10,4,0,0,0,60,16,15,51.6,Matches,0c61c77c
1583,Saša Lukić,rs SRB,MF,Torino,it Serie A,24,1996,33.1,10,0,0,91,57,1,20,52,36,0,0,0,344,49,66,42.6,Matches,c6e8cf1f
1584,Levi Lumeka,eng ENG,DFFW,Troyes,fr Ligue 1,22,1998,0.7,0,0,0,2,1,2,3,0,0,0,0,0,1,0,2,0.0,Matches,199ff86e
1585,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2.0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,,Matches,3061e1ec
1586,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches,8a6ab963
1587,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,24,1996,21.8,8,1,1,33,7,1,2,55,19,0,1,0,159,55,54,50.5,Matches,997fff07
1588,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27.0,3,0,0,1,3,0,0,0,0,0,1,0,158,0,0,,Matches,7fe12375
