,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
709,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-074,1994,25.3,22,14,13,7,2,7,15,46.7,8,27,18,9,30,52,89,1,Matches
710,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-239,1998,4.4,2,1,0,2,0,1,4,25.0,3,4,1,3,0,2,2,0,Matches
711,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-253,1993,14.3,26,10,18,8,0,17,27,63.0,10,14,5,9,15,41,36,0,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-140,1997,18.6,25,19,6,14,5,9,17,52.9,8,15,4,11,14,39,20,0,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25.0,0,0,0,0,0,0,0,,0,2,0,2,1,1,11,3,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,8.7,24,16,12,12,0,13,23,56.5,10,12,4,8,7,31,12,0,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,1.1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,2.0,4,4,2,0,2,1,4,25.0,3,2,0,2,0,4,1,0,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,14.4,28,14,15,12,1,19,28,67.9,9,16,9,7,32,60,52,1,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,4.9,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,1,0,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,0.7,3,1,0,1,2,2,2,100.0,0,3,0,3,1,4,0,0,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,15.7,21,15,15,5,1,10,18,55.6,8,20,14,6,27,48,49,0,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,11.2,18,10,8,6,4,6,15,40.0,9,13,2,11,11,29,4,0,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21.0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,10,4,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,27.0,25,17,11,10,4,13,25,52.0,12,40,24,16,45,70,86,1,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,22.4,31,21,23,7,1,13,20,65.0,7,17,11,6,23,54,60,1,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,22.1,20,14,13,7,0,11,20,55.0,9,14,7,7,31,51,60,1,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,6.4,17,9,11,5,1,9,20,45.0,11,12,2,10,11,28,6,0,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,20.3,37,19,26,10,1,13,22,59.1,9,18,10,8,27,64,56,0,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,24.0,46,29,31,15,0,22,38,57.9,16,36,13,23,53,99,115,3,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,10.4,21,12,14,7,0,11,14,78.6,3,9,4,5,19,40,37,1,Matches
732,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-177,1999,1.5,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0,Matches
733,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-065,1992,3.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
734,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-011,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-139,2005,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
736,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-287,1998,19.7,47,20,12,25,10,20,40,50.0,20,31,1,30,10,57,7,0,Matches
737,Dodô,br BRA,DF,Fiorentina,it Serie A,24-133,1998,18.5,27,16,13,10,4,16,29,55.2,13,17,1,16,18,45,26,0,Matches
738,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-273,1998,15.6,23,15,13,10,0,10,16,62.5,6,20,9,11,21,44,58,0,Matches
739,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-073,1992,7.4,16,10,12,3,1,8,10,80.0,2,11,6,5,8,24,14,1,Matches
740,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-073,1992,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-316,2002,13.8,18,7,5,7,6,5,13,38.5,8,22,6,16,9,27,11,1,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-307,2002,6.7,13,10,4,5,4,8,15,53.3,7,6,0,6,4,17,2,0,Matches
743,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-175,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0,Matches
744,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-175,1997,3.8,6,5,0,4,2,4,5,80.0,1,5,2,3,0,6,2,0,Matches
745,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-047,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
746,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-275,1998,17.6,56,35,26,23,7,28,56,50.0,28,19,2,17,12,68,17,1,Matches
747,John Donald,es ESP,DF,Elche,es La Liga,22-212,2000,1.7,1,0,1,0,0,0,0,,0,2,2,0,5,6,3,1,Matches
748,Giulio Donati,it ITA,DF,Monza,it Serie A,33-053,1990,3.4,3,1,1,0,2,2,5,40.0,3,3,1,2,4,7,6,0,Matches
749,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-184,2004,0.6,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
750,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-059,2001,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-033,1999,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,2,Matches
752,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-074,1998,2.1,12,6,4,8,0,4,7,57.1,3,4,1,3,1,13,2,0,Matches
753,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-101,1997,27.9,35,23,22,10,3,13,19,68.4,6,37,21,16,21,56,91,2,Matches
754,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,31-013,1992,2.9,7,4,3,2,2,4,4,100.0,0,2,1,1,1,8,0,0,Matches
755,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-197,2002,1.0,3,0,2,0,1,3,4,75.0,1,2,0,2,2,5,4,0,Matches
756,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-088,1993,10.4,17,10,4,10,3,7,19,36.8,12,17,2,15,9,26,7,0,Matches
757,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-081,2000,22.5,66,43,37,26,3,27,48,56.3,21,32,11,21,46,112,33,0,Matches
758,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-356,2002,1.0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Matches
759,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-300,2005,11.1,35,18,10,21,4,12,26,46.2,14,15,1,14,12,47,2,0,Matches
760,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-164,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
761,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-249,2003,16.3,30,12,15,13,2,13,21,61.9,8,15,5,10,18,48,34,0,Matches
762,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-040,2003,10.1,22,11,6,10,6,9,26,34.6,17,12,1,11,12,34,1,0,Matches
763,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-187,1996,19.0,43,29,29,13,1,17,30,56.7,13,19,2,17,26,69,26,1,Matches
764,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-069,1999,4.4,9,7,2,6,1,3,6,50.0,3,9,0,9,4,13,2,0,Matches
765,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-223,1997,23.7,1,0,1,0,0,1,5,20.0,4,0,0,0,0,1,14,3,Matches
766,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-112,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0,Matches
767,Dion Drena Beljo,hr CRO,FWMF,Augsburg,de Bundesliga,21-029,2002,5.3,6,5,2,2,2,2,8,25.0,6,8,1,7,1,7,5,0,Matches
768,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-308,1990,11.3,17,12,9,6,2,5,14,35.7,9,14,1,13,4,21,9,0,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-020,1995,23.4,25,17,20,5,0,19,26,73.1,7,24,19,5,31,56,114,0,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-074,1989,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
771,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-023,1994,23.2,7,3,1,4,2,2,12,16.7,10,7,0,7,6,13,32,1,Matches
772,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28-115,1994,6.9,14,11,3,9,2,7,11,63.6,4,9,0,9,8,22,5,0,Matches
773,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-115,1994,7.7,9,8,2,5,2,4,11,36.4,7,7,1,6,2,11,3,0,Matches
774,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-088,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
775,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-272,1986,1.2,2,1,0,1,1,1,2,50.0,1,3,0,3,0,2,5,0,Matches
776,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-346,1996,17.3,18,8,8,8,2,10,19,52.6,9,23,5,18,10,28,21,0,Matches
777,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30-020,1993,6.8,12,7,0,12,0,8,14,57.1,6,5,0,5,4,16,4,0,Matches
778,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-129,1991,25.0,19,11,15,3,1,7,19,36.8,12,23,16,7,25,44,61,0,Matches
779,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,30-026,1993,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,3,Matches
780,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,19-107,2003,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
781,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,22-064,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,Matches
782,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-140,1999,10.8,11,8,1,6,4,5,13,38.5,8,8,1,7,2,13,6,1,Matches
783,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-261,1997,19.4,52,30,34,14,4,32,51,62.7,19,25,5,20,18,70,47,0,Matches
784,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,29-135,1993,15.9,13,3,1,7,5,7,18,38.9,11,10,0,10,7,20,3,0,Matches
785,Edin Džeko,ba BIH,FW,Inter,it Serie A,37-013,1986,17.4,2,2,0,2,0,0,4,0.0,4,14,1,13,3,5,23,0,Matches
786,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,eng Premier League,19-207,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches
787,Festy Ebosele,ie IRL,DFFW,Udinese,it Serie A,20-240,2002,1.7,9,7,5,4,0,2,6,33.3,4,3,0,3,1,10,4,0,Matches
788,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24-019,1999,10.3,15,9,11,4,0,9,13,69.2,4,27,6,21,11,26,29,0,Matches
789,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27-104,1995,11.9,13,8,4,6,3,5,7,71.4,2,16,9,7,6,19,39,1,Matches
790,Ederson,br BRA,GK,Manchester City,eng Premier League,29-225,1993,27.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,9,2,Matches
791,Éderson,br BRA,MF,Atalanta,it Serie A,23-266,1999,16.1,49,27,13,30,6,20,41,48.8,21,36,4,32,22,71,19,0,Matches
792,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,25-073,1998,14.2,21,10,7,10,4,6,10,60.0,4,12,5,7,3,24,19,0,Matches
793,Samuel Edozie,eng ENG,FWMF,Southampton,eng Premier League,20-061,2003,6.0,15,8,5,9,1,3,7,42.9,4,6,0,6,6,21,6,0,Matches
794,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26-112,1996,20.3,35,17,12,17,6,12,22,54.5,10,28,6,22,25,60,15,0,Matches
795,Lilian Egloff,de GER,MFFW,Stuttgart,de Bundesliga,20-222,2002,2.7,12,10,4,5,3,4,6,66.7,2,2,0,2,1,13,1,0,Matches
796,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,31-023,1992,9.4,11,8,4,6,1,5,16,31.3,11,9,3,6,5,16,14,0,Matches
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-309,1995,11.7,32,22,19,9,4,23,35,65.7,12,12,1,11,5,37,30,1,Matches
798,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-309,1995,0.7,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,Matches
799,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,de Bundesliga,25-087,1998,8.8,4,3,1,3,0,1,4,25.0,3,3,0,3,2,6,0,0,Matches
800,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33-245,1989,10.6,24,17,11,13,0,10,29,34.5,19,15,1,14,16,40,23,0,Matches
801,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20-283,2002,9.2,10,4,1,8,1,4,12,33.3,8,11,0,11,4,14,2,0,Matches
802,Emmanuel Ekong,se SWE,FWMF,Empoli,it Serie A,20-278,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
803,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20-337,2002,4.7,3,0,0,2,1,1,2,50.0,1,4,0,4,2,5,4,0,Matches
804,Alberth Elis,hn HON,MFFW,Brest,fr Ligue 1,27-046,1996,2.7,4,3,1,2,1,1,7,14.3,6,1,0,1,1,5,2,0,Matches
805,Mikael Ellertsson,is ISL,MFDF,Spezia,it Serie A,21-019,2002,1.9,4,2,1,3,0,0,3,0.0,3,2,1,1,2,6,0,0,Matches
806,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,19-360,2003,15.9,21,14,6,9,6,6,29,20.7,23,25,1,24,13,34,7,0,Matches
807,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,23-187,1999,11.3,13,7,5,5,3,7,10,70.0,3,5,0,5,10,23,4,0,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30-262,1992,1.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-002,1994,11.4,21,12,12,8,1,11,18,61.1,7,12,6,6,18,39,30,1,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,26-181,1996,22.5,40,19,27,11,2,25,31,80.6,6,20,9,11,27,67,98,3,Matches
811,Rodrigo Ely,br BRA,DF,Almería,es La Liga,29-147,1993,24.1,18,12,14,4,0,11,16,68.8,5,29,22,7,23,41,134,0,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,20-087,2003,20.3,7,3,2,3,2,3,7,42.9,4,10,2,8,3,10,4,0,Matches
813,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,28-238,1994,19.3,33,20,14,16,3,14,34,41.2,20,31,2,29,20,53,31,0,Matches
814,Adri Embarba,es ESP,FWMF,Almería,es La Liga,30-327,1992,10.8,35,18,11,22,2,12,24,50.0,12,14,0,14,7,42,5,0,Matches
815,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30-327,1992,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
816,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26-044,1997,19.5,15,9,2,7,6,5,9,55.6,4,13,3,10,5,20,12,0,Matches
817,Emerson,br BRA,DF,Tottenham,eng Premier League,24-075,1999,15.5,42,26,28,11,3,20,32,62.5,12,15,3,12,12,54,58,0,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25-302,1997,11.7,12,7,2,6,4,4,9,44.4,5,3,1,2,3,15,9,0,Matches
819,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,30-049,1993,23.5,54,31,23,25,6,27,59,45.8,32,30,6,24,21,75,49,0,Matches
820,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,19-203,2003,9.2,17,7,8,8,1,7,12,58.3,5,9,3,6,9,26,7,0,Matches
821,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-044,1992,16.5,12,10,7,3,2,5,21,23.8,16,17,7,10,8,20,18,1,Matches
822,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25-065,1998,18.9,20,10,14,5,1,9,16,56.3,7,29,18,11,25,45,85,1,Matches
823,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,30-003,1993,6.2,16,8,8,8,0,10,13,76.9,3,7,1,6,10,26,4,0,Matches
824,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30-003,1993,6.7,26,15,11,14,1,11,18,61.1,7,7,2,5,9,35,17,0,Matches
825,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,33-209,1989,10.6,25,17,17,7,1,11,27,40.7,16,17,4,13,14,39,31,0,Matches
826,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,31-084,1992,23.7,62,37,34,17,11,34,65,52.3,31,40,9,31,30,92,71,0,Matches
827,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33-262,1989,9.4,4,0,1,3,0,2,5,40.0,3,12,7,5,5,9,41,2,Matches
828,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,22-174,2000,2.4,3,3,2,1,0,2,9,22.2,7,2,0,2,3,6,3,0,Matches
829,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20-308,2002,15.1,23,12,16,5,2,12,16,75.0,4,25,15,10,31,54,73,0,Matches
830,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25-068,1998,17.5,40,23,21,13,6,24,37,64.9,13,17,5,12,26,66,25,0,Matches
831,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,35-086,1988,9.0,10,4,10,0,0,6,10,60.0,4,6,5,1,16,26,33,0,Matches
832,Edu Expósito,es ESP,MF,Espanyol,es La Liga,26-241,1996,10.8,29,17,13,14,2,11,18,61.1,7,7,0,7,9,38,16,0,Matches
833,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,24-274,1998,19.3,27,16,10,12,5,8,20,40.0,12,19,0,19,8,35,6,0,Matches
834,Nicolás Ezequiel Fernández,ar ARG,MFDF,Elche,es La Liga,23-078,2000,3.6,16,9,8,4,4,7,12,58.3,5,6,0,6,5,21,2,0,Matches
835,Abdessamad Ezzalzouli,ma MAR,FWMF,Osasuna,es La Liga,21-103,2001,10.3,18,12,8,7,3,7,14,50.0,7,14,0,14,3,21,4,0,Matches
836,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37-346,1985,22.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
837,Fabinho,br BRA,MF,Liverpool,eng Premier League,29-158,1993,18.7,41,23,15,22,4,15,39,38.5,24,23,6,17,25,66,25,0,Matches
838,Fábio,br BRA,DFMF,Nantes,fr Ligue 1,32-264,1990,2.5,4,2,1,2,1,4,6,66.7,2,2,0,2,3,7,11,0,Matches
839,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,23-117,1999,13.3,27,19,16,8,3,13,24,54.2,11,13,6,7,24,51,18,0,Matches
840,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24-361,1998,20.0,40,23,18,20,2,20,33,60.6,13,30,20,10,30,70,65,2,Matches
841,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24-361,1998,3.0,1,1,1,0,0,1,2,50.0,1,6,3,3,7,8,19,0,Matches
842,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22-046,2001,10.6,16,10,5,9,2,6,18,33.3,12,8,2,6,7,23,5,0,Matches
843,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,34-184,1988,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2,Matches
844,Romain Faivre,fr FRA,FWMF,Lorient,fr Ligue 1,24-259,1998,5.2,8,4,2,3,3,2,7,28.6,5,5,0,5,0,8,3,0,Matches
845,Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24-259,1998,3.3,6,3,2,2,2,1,3,33.3,2,3,0,3,0,6,0,0,Matches
846,Radamel Falcao,co COL,FWMF,Rayo Vallecano,es La Liga,37-048,1986,5.6,3,3,1,2,0,1,6,16.7,5,4,1,3,2,5,9,0,Matches
847,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27-352,1995,27.0,2,0,2,0,0,2,2,100.0,0,0,0,0,2,4,16,2,Matches
848,Fali,es ESP,DFMF,Cádiz,es La Liga,29-230,1993,14.1,21,13,13,8,0,13,21,61.9,8,18,12,6,7,28,60,1,Matches
849,Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,20-129,2002,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
850,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31-156,1991,8.8,18,12,6,10,2,9,24,37.5,15,15,4,11,9,27,17,0,Matches
851,Ansu Fati,es ESP,FW,Barcelona,es La Liga,20-150,2002,10.4,13,8,6,3,4,4,15,26.7,11,12,0,12,3,16,5,0,Matches
852,Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18-294,2004,6.0,29,14,11,16,2,12,18,66.7,6,6,1,5,6,35,4,0,Matches
853,Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,24-062,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
854,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36-013,1987,11.8,15,12,8,7,0,4,11,36.4,7,9,4,5,28,43,61,0,Matches
855,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20-014,2003,4.1,17,9,13,3,1,9,15,60.0,6,10,2,8,5,22,8,0,Matches
856,Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,34-088,1989,4.2,4,2,1,3,0,3,4,75.0,1,9,9,0,5,9,27,0,Matches
857,Nabil Fekir,fr FRA,MF,Betis,es La Liga,29-255,1993,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,Matches
858,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33-318,1989,5.9,14,8,8,6,0,10,16,62.5,6,14,7,7,18,32,36,0,Matches
859,Felipe,br BRA,DF,Atlético Madrid,es La Liga,33-318,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0,Matches
860,Luiz Felipe,it ITA,DF,Betis,es La Liga,26-008,1997,11.5,20,13,10,10,0,11,22,50.0,11,26,15,11,15,35,53,0,Matches
861,João Félix,pt POR,FWMF,Chelsea,eng Premier League,23-140,1999,5.7,9,5,4,3,2,2,7,28.6,5,2,0,2,1,10,0,1,Matches
862,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,23-140,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,Matches
863,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25-202,1997,10.8,24,16,12,10,2,13,21,61.9,8,17,8,9,18,42,46,1,Matches
864,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32-056,1991,10.0,9,5,7,1,1,6,10,60.0,4,11,5,6,14,23,19,0,Matches
865,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18-162,2004,5.2,6,3,1,3,2,1,5,20.0,4,6,1,5,1,7,1,0,Matches
866,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23-218,1999,17.1,27,17,11,13,3,11,22,50.0,11,13,5,8,16,43,14,0,Matches
867,Bruno Fernandes,pt POR,MFFW,Manchester Utd,eng Premier League,28-203,1994,25.0,56,33,20,21,15,25,51,49.0,26,24,3,21,15,71,33,0,Matches
868,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26-349,1996,18.7,25,19,18,4,3,12,22,54.5,10,31,13,18,40,65,60,2,Matches
869,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31-331,1991,14.0,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,10,0,Matches
870,Álex Fernández,es ESP,MFFW,Cádiz,es La Liga,30-166,1992,15.8,12,6,6,3,3,4,12,33.3,8,14,1,13,7,19,15,0,Matches
871,Álvaro Fernández,es ESP,GK,Espanyol,es La Liga,24-351,1998,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches
872,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26-312,1996,4.5,4,3,1,2,1,0,8,0.0,8,1,0,1,1,5,2,0,Matches
873,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22-072,2001,6.9,25,15,16,8,1,10,30,33.3,20,18,2,16,9,34,7,0,Matches
874,Federico Fernández,ar ARG,DF,Elche,es La Liga,34-037,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0,Matches
875,Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,26-303,1996,16.8,24,23,16,7,1,12,16,75.0,4,21,15,6,17,41,75,1,Matches
876,Fernando,es ESP,GK,Almería,es La Liga,32-293,1990,24.5,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,14,2,Matches
877,Fernando,br BRA,MFDF,Sevilla,es La Liga,35-248,1987,12.7,23,16,10,11,2,11,17,64.7,6,15,7,8,19,42,23,0,Matches
