,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
624,Sergi Darder,es ESP,MF,Espanyol,es La Liga,29-098,1993,25.7,790,1111,71.1,15398,5833,308,362,85.1,352,429,82.1,119,265,44.9,2,5.0,4.5,-3.0,54,108,36,6,160,Matches
625,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-328,1999,14.6,547,690,79.3,12287,4337,123,144,85.4,308,343,89.8,106,183,57.9,0,0.0,0.1,0.0,1,25,0,0,33,Matches
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-234,1990,0.3,8,12,66.7,101,6,5,6,83.3,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-118,1989,16.0,776,911,85.2,13825,4898,312,339,92.0,388,436,89.0,62,101,61.4,2,1.7,1.7,+0.3,18,49,15,9,64,Matches
628,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-158,1998,12.5,404,498,81.1,6780,1666,204,230,88.7,160,179,89.4,34,58,58.6,2,1.4,1.5,+0.6,10,29,22,5,52,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,25.4,507,620,81.8,7065,1555,301,353,85.3,152,180,84.4,22,23,95.7,4,4.6,3.5,-0.6,37,39,20,2,57,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,20.4,1208,1392,86.8,19257,5133,638,697,91.5,483,534,90.4,66,102,64.7,4,3.3,3.7,+0.7,39,101,30,4,113,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,20.3,882,1068,82.6,14651,5012,427,473,90.3,373,428,87.1,60,112,53.6,2,2.3,1.3,-0.3,17,66,6,3,96,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,5.3,151,206,73.3,2555,719,74,96,77.1,59,70,84.3,14,26,53.8,0,0.1,0.2,-0.1,1,20,1,0,26,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,12.6,456,608,75.0,8192,3061,197,226,87.2,206,260,79.2,45,100,45.0,1,0.8,0.3,+0.2,5,34,2,0,39,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8.0,245,310,79.0,5404,2170,74,86,86.0,121,137,88.3,48,79,60.8,0,0.1,0.1,-0.1,1,25,0,0,18,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,7.5,394,468,84.2,8165,2852,114,126,90.5,216,236,91.5,62,95,65.3,0,0.0,0.1,0.0,1,27,0,0,16,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,21.5,884,1236,71.5,16674,5074,394,472,83.5,352,474,74.3,125,220,56.8,12,10.4,11.4,+1.6,76,97,77,16,188,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,9.7,225,291,77.3,3187,1044,134,166,80.7,73,85,85.9,10,14,71.4,1,1.8,1.7,-0.8,17,24,15,0,46,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,0.5,5,8,62.5,66,1,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,12.4,670,820,81.7,12007,3759,335,373,89.8,223,265,84.2,91,134,67.9,3,3.6,2.4,-0.6,28,95,29,4,111,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,10.2,417,520,80.2,7440,2824,181,212,85.4,191,226,84.5,42,69,60.9,0,0.4,0.4,-0.4,6,47,8,6,48,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,5.8,184,260,70.8,2890,1461,101,114,88.6,73,104,70.2,7,31,22.6,0,0.2,0.1,-0.2,4,18,4,1,20,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,13.8,627,803,78.1,10056,3960,305,356,85.7,266,321,82.9,37,80,46.3,1,0.2,0.4,+0.8,5,69,11,5,63,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,9.9,371,431,86.1,6991,2398,136,148,91.9,208,226,92.0,27,52,51.9,0,0.2,0.1,-0.2,2,15,1,0,20,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,7.6,118,142,83.1,1447,239,74,82,90.2,30,35,85.7,3,8,37.5,0,0.3,0.1,-0.3,7,8,0,0,7,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,17.9,440,564,78.0,6783,2106,234,281,83.3,166,204,81.4,26,40,65.0,1,1.6,1.9,-0.6,15,51,24,0,89,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,10.5,294,454,64.8,5180,2036,148,193,76.7,93,139,66.9,41,95,43.2,5,3.0,2.7,+2.0,21,31,22,5,49,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,9.5,299,452,66.2,4674,1718,146,179,81.6,129,184,70.1,14,53,26.4,1,1.3,1.9,-0.3,7,14,15,11,18,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,140,164,85.4,2173,461,71,76,93.4,54,64,84.4,8,14,57.1,0,0.1,0.6,-0.1,2,6,3,1,7,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,108,159,67.9,2002,817,45,56,80.4,50,62,80.6,12,31,38.7,0,0.0,0.1,0.0,1,8,0,0,13,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,8,14,57.1,86,52,6,8,75.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,7,8,87.5,110,13,4,4,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,139,230,60.4,2109,558,78,113,69.0,41,73,56.2,12,25,48.0,1,1.4,0.9,-0.4,11,16,7,1,19,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,32,67,47.8,518,145,17,37,45.9,9,14,64.3,4,11,36.4,0,0.4,0.0,-0.4,4,4,1,1,3,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,54,81,66.7,883,212,29,35,82.9,16,28,57.1,6,10,60.0,0,0.2,0.2,-0.2,3,2,2,1,4,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,128,178,71.9,1642,341,68,92,73.9,42,56,75.0,3,6,50.0,0,0.3,0.5,-0.3,4,8,9,0,21,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,499,647,77.1,7876,1528,297,331,89.7,147,189,77.8,43,78,55.1,5,3.7,3.8,+1.3,34,19,29,4,58,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,-0.3,4,2,3,2,4,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,46,59,78.0,657,174,25,30,83.3,16,21,76.2,2,4,50.0,0,0.6,0.5,-0.6,4,2,4,1,4,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,517,604,85.6,9711,2718,189,209,90.4,267,301,88.7,53,82,64.6,0,0.5,0.5,-0.5,4,13,1,1,26,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,619,819,75.6,10728,3489,295,336,87.8,235,282,83.3,69,155,44.5,3,2.0,3.2,+1.0,20,55,10,4,70,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,209,429,48.7,2934,1042,123,205,60.0,65,123,52.8,8,29,27.6,4,3.1,2.5,+0.9,25,24,16,5,39,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,66,67,98.5,1014,242,33,33,100.0,22,23,95.7,8,8,100.0,0,0.0,0.0,0.0,0,7,1,0,9,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,127,152,83.6,2537,896,39,41,95.1,71,77,92.2,15,30,50.0,0,0.0,0.0,0.0,0,5,0,0,5,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,1328,1761,75.4,29593,10179,448,509,88.0,537,656,81.9,307,512,60.0,7,6.2,6.1,+0.8,70,198,46,9,235,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,135,155,87.1,2088,409,70,76,92.1,53,59,89.8,6,10,60.0,0,0.5,0.1,-0.5,5,10,0,0,10,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,86,99,86.9,1466,282,45,50,90.0,32,32,100.0,8,8,100.0,0,0.0,0.0,0.0,2,4,1,1,6,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,100,148,67.6,1507,293,61,75,81.3,28,44,63.6,7,10,70.0,1,0.3,0.3,+0.7,4,6,2,1,13,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,352,535,65.8,6389,3735,149,190,78.4,153,221,69.2,42,87,48.3,2,1.0,1.2,+1.0,13,35,19,12,54,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,74,95,77.9,1373,584,31,36,86.1,31,36,86.1,11,21,52.4,0,0.4,0.3,-0.4,4,6,4,4,10,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,1,2,50.0,27,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,22,26,84.6,684,521,2,2,100.0,10,10,100.0,9,13,69.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,941,1109,84.9,13950,5148,531,578,91.9,330,389,84.8,48,80,60.0,2,1.2,1.8,+0.8,11,76,16,5,97,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,145,230,63.0,2066,352,81,122,66.4,50,70,71.4,6,13,46.2,0,1.3,1.0,-1.3,18,9,8,1,23,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,169,198,85.4,2535,793,95,102,93.1,65,73,89.0,5,12,41.7,0,0.3,0.2,-0.3,4,15,3,1,14,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,33,59,55.9,387,85,23,32,71.9,5,15,33.3,2,4,50.0,0,0.4,0.2,-0.4,4,1,1,0,2,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,443,588,75.3,6574,2331,260,294,88.4,139,181,76.8,27,64,42.2,6,4.4,4.0,+1.6,48,40,42,2,82,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,753,1006,74.9,12558,3334,387,457,84.7,268,337,79.5,73,144,50.7,2,2.7,2.1,-0.7,33,99,19,3,116,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,6,8,75.0,79,30,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,257,381,67.5,3531,1028,149,176,84.7,78,118,66.1,12,40,30.0,2,2.3,1.9,-0.3,20,17,12,2,37,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,785,1032,76.1,20233,13756,190,190,100.0,343,351,97.7,249,487,51.1,0,0.0,0.0,0.0,0,10,0,0,0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,1692,1986,85.2,27739,9919,867,930,93.2,656,751,87.4,129,193,66.8,4,3.7,3.7,+0.3,36,133,44,8,189,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,312,425,73.4,5798,2059,141,158,89.2,112,145,77.2,49,87,56.3,4,3.4,3.0,+0.6,28,39,22,6,60,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,316,419,75.4,4645,948,167,205,81.5,103,128,80.5,18,26,69.2,4,2.3,1.0,+1.7,26,20,13,2,36,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,541,726,74.5,8107,1849,306,372,82.3,171,220,77.7,38,71,53.5,4,5.3,4.4,-1.3,42,35,37,12,70,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,622,746,83.4,13276,4712,163,187,87.2,361,401,90.0,94,147,63.9,0,0.2,0.1,-0.2,3,46,0,0,44,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,1238,1416,87.4,19671,6009,597,652,91.6,547,612,89.4,64,94,68.1,0,0.6,0.8,-0.6,6,90,11,2,124,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,48,68,70.6,600,354,36,42,85.7,11,15,73.3,0,6,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,296,345,85.8,5556,2367,117,126,92.9,146,161,90.7,31,52,59.6,0,0.1,0.3,-0.1,1,22,4,0,22,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,32,47,68.1,516,233,12,16,75.0,16,23,69.6,2,5,40.0,0,0.0,0.2,0.0,0,0,2,1,1,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,294,440,66.8,3923,722,183,262,69.8,77,103,74.8,11,15,73.3,0,2.4,2.8,-2.4,20,23,9,1,28,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,316,400,79.0,4763,1064,181,206,87.9,112,139,80.6,16,33,48.5,0,0.1,0.1,-0.1,4,24,2,0,28,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,659,880,74.9,12220,4958,276,334,82.6,274,342,80.1,88,159,55.3,0,0.4,0.5,-0.4,7,65,7,3,61,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,8,9,88.9,103,26,4,5,80.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,272,370,73.5,4492,1171,122,147,83.0,106,136,77.9,25,52,48.1,0,0.7,1.9,-0.7,7,30,9,2,39,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,456,547,83.4,7401,2792,211,243,86.8,201,225,89.3,26,44,59.1,1,0.7,0.6,+0.3,7,27,11,4,45,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,221,306,72.2,3017,1038,128,168,76.2,74,99,74.7,8,14,57.1,0,1.7,0.8,-1.7,11,7,12,1,32,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,21,26,80.8,424,120,6,6,100.0,11,11,100.0,4,8,50.0,0,0.5,0.2,-0.5,2,3,1,0,3,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,1264,1369,92.3,23364,8286,442,466,94.8,722,758,95.3,90,124,72.6,0,0.1,0.2,-0.1,2,95,0,0,74,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,462,616,75.0,6559,2058,268,330,81.2,147,201,73.1,20,36,55.6,2,2.7,2.5,-0.7,20,42,28,7,70,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,753,1074,70.1,22745,16525,110,111,99.1,329,341,96.5,307,612,50.2,0,0.1,0.1,-0.1,2,25,2,0,0,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,395,494,80.0,5810,1778,219,251,87.3,136,161,84.5,21,37,56.8,3,3.6,1.8,-0.6,29,56,30,1,89,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,203,256,79.3,3051,597,124,150,82.7,63,75,84.0,12,14,85.7,2,1.0,0.8,+1.0,6,18,5,1,25,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,27,43,62.8,367,34,18,26,69.2,5,9,55.6,2,2,100.0,0,0.1,0.1,-0.1,2,1,2,1,1,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,61,80,76.3,852,125,32,39,82.1,21,26,80.8,3,6,50.0,0,0.5,0.2,-0.5,3,4,0,0,3,Matches
709,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-074,1994,25.3,1433,1655,86.6,27662,10885,524,565,92.7,719,773,93.0,164,263,62.4,1,1.2,0.4,-0.2,7,63,6,3,72,Matches
710,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-239,1998,4.4,39,76,51.3,487,111,27,40,67.5,7,20,35.0,2,5,40.0,0,0.3,0.5,-0.3,4,4,0,0,5,Matches
711,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-253,1993,14.3,617,810,76.2,9773,3675,345,385,89.6,217,291,74.6,44,91,48.4,0,1.6,1.3,-1.6,15,34,19,11,51,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-140,1997,18.6,760,1043,72.9,14478,4971,331,380,87.1,298,375,79.5,110,233,47.2,2,5.0,4.3,-3.0,44,54,33,23,72,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25.0,479,766,62.5,13654,9705,80,80,100.0,237,240,98.8,161,439,36.7,0,0.0,0.0,0.0,1,13,0,0,0,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,8.7,243,340,71.5,3625,1214,144,178,80.9,80,108,74.1,12,34,35.3,1,1.4,1.1,-0.4,8,19,6,1,28,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,1.1,55,78,70.5,840,252,31,34,91.2,19,28,67.9,3,9,33.3,0,0.3,0.2,-0.3,4,7,1,0,6,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,2.0,40,63,63.5,603,101,22,31,71.0,15,21,71.4,2,5,40.0,0,0.2,0.3,-0.2,3,1,2,0,6,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,14.4,833,976,85.3,14672,5177,324,363,89.3,414,466,88.8,66,106,62.3,0,0.0,0.4,0.0,1,76,3,1,77,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,4.9,90,115,78.3,1000,187,58,66,87.9,15,21,71.4,1,2,50.0,0,0.3,0.2,-0.3,5,5,2,1,9,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,0.7,43,54,79.6,718,214,22,27,81.5,19,21,90.5,2,2,100.0,0,0.0,0.1,0.0,0,5,4,0,10,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,15.7,817,958,85.3,16671,5286,232,264,87.9,494,535,92.3,88,148,59.5,0,0.0,0.1,0.0,1,52,3,0,54,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,11.2,434,546,79.5,6754,1684,229,268,85.4,150,189,79.4,31,51,60.8,4,1.4,1.4,+2.6,16,34,12,3,44,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,0.7,20,33,60.6,276,92,14,19,73.7,2,6,33.3,2,5,40.0,0,0.1,0.1,-0.1,3,0,2,0,2,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21.0,550,706,77.9,15449,10169,66,67,98.5,283,287,98.6,197,345,57.1,0,0.0,0.0,0.0,1,5,0,0,0,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,27.0,1234,1483,83.2,25137,9558,382,432,88.4,684,765,89.4,149,241,61.8,3,1.1,1.5,+1.9,8,166,11,3,159,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,0.1,7,7,100.0,92,20,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,22.4,1481,1599,92.6,25798,8970,629,666,94.4,696,724,96.1,119,152,78.3,0,0.1,0.3,-0.1,2,72,0,0,70,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,22.1,651,828,78.6,11809,4660,271,302,89.7,300,342,87.7,68,147,46.3,1,0.4,0.8,+0.6,3,42,7,5,49,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,6.4,157,213,73.7,2323,696,90,102,88.2,53,74,71.6,8,19,42.1,1,0.3,0.3,+0.7,6,12,5,3,17,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,20.3,902,1055,85.5,16191,4806,376,404,93.1,433,475,91.2,80,137,58.4,0,0.1,0.2,-0.1,2,70,3,2,69,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,24.0,1017,1258,80.8,21617,9117,273,321,85.0,563,650,86.6,165,254,65.0,2,0.6,1.2,+1.4,9,105,12,3,125,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,10.4,535,619,86.4,8626,2966,277,298,93.0,223,244,91.4,27,57,47.4,0,0.0,0.1,0.0,1,23,1,0,26,Matches
732,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-177,1999,1.5,24,32,75.0,275,43,14,16,87.5,7,11,63.6,1,2,50.0,0,0.0,0.0,0.0,1,3,1,0,2,Matches
733,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-065,1992,3.1,86,126,68.3,2521,1903,14,14,100.0,44,44,100.0,28,66,42.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
734,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-011,2002,0.2,2,2,100.0,28,2,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-139,2005,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
736,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-287,1998,19.7,335,471,71.1,4941,1279,208,257,80.9,90,120,75.0,21,33,63.6,3,2.2,3.3,+0.8,19,28,21,4,48,Matches
737,Dodô,br BRA,DF,Fiorentina,it Serie A,24-133,1998,18.5,882,1072,82.3,15298,4800,401,439,91.3,383,460,83.3,82,130,63.1,2,1.4,1.5,+0.6,18,64,19,5,103,Matches
738,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-273,1998,15.6,484,621,77.9,8799,3139,194,227,85.5,241,285,84.6,40,81,49.4,1,0.2,0.6,+0.8,4,48,2,0,52,Matches
739,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-073,1992,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Matches
740,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-073,1992,0.1,4,6,66.7,63,3,2,3,66.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-316,2002,13.8,324,488,66.4,5561,2658,160,197,81.2,129,191,67.5,29,67,43.3,3,1.0,1.3,+2.0,11,27,11,7,24,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-307,2002,6.7,210,259,81.1,3281,741,115,139,82.7,77,91,84.6,15,15,100.0,0,1.4,1.6,-1.4,12,12,21,2,32,Matches
743,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-175,1997,2.2,19,28,67.9,257,27,13,18,72.2,3,5,60.0,2,3,66.7,1,0.4,0.0,+0.6,1,1,0,0,2,Matches
744,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-175,1997,3.8,44,63,69.8,526,80,27,34,79.4,10,16,62.5,1,1,100.0,0,0.4,0.2,-0.4,4,2,2,0,4,Matches
745,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-047,2001,0.2,11,12,91.7,176,75,7,7,100.0,2,2,100.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,1,Matches
746,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-275,1998,17.6,717,897,79.9,11116,3105,376,434,86.6,242,296,81.8,56,89,62.9,2,1.8,1.9,+0.2,23,71,16,0,95,Matches
747,John Donald,es ESP,DF,Elche,es La Liga,22-212,2000,1.7,28,33,84.8,405,165,14,16,87.5,12,13,92.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
748,Giulio Donati,it ITA,DF,Monza,it Serie A,33-053,1990,3.4,176,210,83.8,3467,1290,60,69,87.0,94,104,90.4,20,30,66.7,0,0.0,0.0,0.0,0,12,0,0,17,Matches
