,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
535,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-130,1996,4.0,91,125,72.8,2017,1291,23,23,100.0,51,54,94.4,17,47,36.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
536,Bahmed Deuff,mr MTN,MFFW,Nantes,fr Ligue 1,19-234,2006,0.9,18,22,81.8,277,35,11,12,91.7,6,7,85.7,0,1,0.0,0,0.2,0.2,-0.2,1,0,1,1,1,Matches
537,Justin Devenny,nir NIR,MFFW,Crystal Palace,eng Premier League,22-022,2003,1.8,39,55,70.9,625,134,21,25,84.0,14,18,77.8,3,8,37.5,0,0.1,0.2,-0.1,2,5,1,0,5,Matches
538,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-057,1998,7.9,227,294,77.2,3735,970,111,129,86.0,93,106,87.7,18,49,36.7,1,2.2,2.0,-1.2,15,26,22,3,44,Matches
539,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-098,1997,9.0,231,285,81.1,6116,3689,34,34,100.0,131,131,100.0,66,117,56.4,0,0.0,0.0,0.0,0,3,0,0,0,Matches
540,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,32-090,1993,10.0,560,667,84.0,8720,2948,286,313,91.4,245,286,85.7,24,44,54.5,0,1.0,1.1,-1.0,5,55,5,1,65,Matches
541,Alessandro Di Pardo,it ITA,DF,Cagliari,it Serie A,26-107,1999,0.6,18,24,75.0,303,108,7,8,87.5,10,13,76.9,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
542,Boulaye Dia,sn SEN,FWMF,Lazio,it Serie A,28-351,1996,5.6,105,130,80.8,1396,168,60,67,89.6,31,36,86.1,4,6,66.7,0,0.0,0.1,0.0,2,9,1,0,10,Matches
543,Bambo Diaby,sn SEN,DF,Elche,es La Liga,27-320,1997,0.5,29,30,96.7,525,156,9,10,90.0,19,19,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
544,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-318,1996,5.0,213,248,85.9,3945,1410,81,88,92.0,112,121,92.6,20,34,58.8,0,0.0,0.1,0.0,1,12,0,0,17,Matches
545,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24-300,2001,7.0,319,361,88.4,6331,2134,86,94,91.5,202,216,93.5,29,45,64.4,0,0.1,0.1,-0.1,3,24,0,0,19,Matches
546,Amad Diallo,ci CIV,DFMF,Manchester Utd,eng Premier League,23-114,2002,7.4,279,318,87.7,4142,938,168,179,93.9,91,106,85.8,15,21,71.4,1,1.2,1.2,-0.2,11,11,12,3,32,Matches
547,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30-137,1995,6.8,55,79,69.6,792,93,26,36,72.2,17,25,68.0,5,5,100.0,1,0.2,0.2,+0.8,4,1,4,0,7,Matches
548,Grady Diangana,cd COD,MFFW,Elche,es La Liga,27-197,1998,1.6,39,48,81.3,511,98,28,30,93.3,8,12,66.7,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
549,Assane Diao,sn SEN,FW,Como,it Serie A,20-056,2005,2.1,50,70,71.4,661,110,33,39,84.6,14,21,66.7,1,3,33.3,0,0.0,0.1,0.0,0,1,1,0,7,Matches
550,Soriba Diaoune,fr FRA,FW,Lille,fr Ligue 1,18-080,2007,0.0,4,4,100.0,47,0,4,4,100.0,0,0,,0,0,,1,0.1,0.0,+0.9,1,0,0,0,0,Matches
551,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,21-303,2004,3.8,93,121,76.9,1328,214,56,63,88.9,31,38,81.6,4,7,57.1,0,0.0,0.1,0.0,1,11,2,0,13,Matches
552,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-357,2000,2.4,61,93,65.6,936,343,31,39,79.5,24,36,66.7,3,10,30.0,0,0.0,0.0,0.0,1,2,1,1,1,Matches
553,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28-172,1997,8.1,550,586,93.9,9145,3185,251,261,96.2,278,292,95.2,15,26,57.7,0,0.0,0.2,0.0,1,32,0,0,29,Matches
554,Krépin Diatta,sn SEN,DFFW,Monaco,fr Ligue 1,26-250,1999,6.1,259,335,77.3,4035,1285,144,166,86.7,95,123,77.2,15,29,51.7,1,1.3,1.6,-0.3,10,18,9,5,31,Matches
555,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-133,1993,10.0,298,390,76.4,7778,4744,50,51,98.0,166,167,99.4,81,170,47.6,1,0.8,0.0,+0.2,3,3,1,0,0,Matches
556,Brahim Díaz,ma MAR,FWMF,Real Madrid,es La Liga,26-091,1999,2.5,93,102,91.2,1109,194,64,65,98.5,22,24,91.7,1,2,50.0,2,1.5,1.0,+0.5,8,7,3,2,5,Matches
557,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22-102,2003,6.2,185,220,84.1,4216,1244,39,42,92.9,111,123,90.2,33,47,70.2,0,0.0,0.0,0.0,1,10,0,0,16,Matches
558,Luis Díaz,co COL,FW,Bayern Munich,de Bundesliga,28-293,1997,7.9,306,380,80.5,4812,928,172,194,88.7,103,133,77.4,22,31,71.0,4,2.1,1.2,+1.9,20,16,9,0,32,Matches
559,Pedro Díaz,es ESP,MFFW,Rayo Vallecano,es La Liga,27-150,1998,8.3,261,314,83.1,3882,671,149,163,91.4,95,107,88.8,10,23,43.5,0,0.5,0.4,-0.5,9,19,4,1,25,Matches
560,Tyler Dibling,eng ENG,FW,Everton,eng Premier League,19-235,2006,0.7,15,18,83.3,256,19,7,8,87.5,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
561,Nouha Dicko,ml MLI,FW,Paris FC,fr Ligue 1,33-172,1992,0.5,7,11,63.6,91,31,4,5,80.0,3,5,60.0,0,0,,1,0.2,0.0,+0.8,1,0,0,0,1,Matches
562,Bamba Dieng,sn SEN,MFFW,Lorient,fr Ligue 1,25-224,2000,0.3,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,1,0.3,0.0,+0.7,1,0,0,0,0,Matches
563,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,31-291,1994,6.0,451,489,92.2,8618,3113,141,148,95.3,266,278,95.7,40,54,74.1,0,0.1,0.3,-0.1,2,47,1,0,39,Matches
564,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32-105,1993,8.1,271,372,72.8,4542,1760,139,156,89.1,106,141,75.2,21,44,47.7,2,0.7,1.1,+1.3,9,15,9,5,17,Matches
565,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29-027,1996,7.8,390,436,89.4,7148,2721,168,184,91.3,171,178,96.1,46,63,73.0,0,0.2,0.3,-0.2,3,21,3,1,31,Matches
566,Federico Dimarco,it ITA,DF,Inter,it Serie A,27-357,1997,7.3,291,391,74.4,5272,2105,137,156,87.8,108,140,77.1,40,75,53.3,3,3.3,2.8,-0.3,26,21,22,12,45,Matches
567,Junior Dina Ebimbe,fr FRA,FWMF,Brest,fr Ligue 1,24-346,2000,3.5,37,58,63.8,572,75,19,30,63.3,14,18,77.8,1,2,50.0,0,0.5,0.2,-0.5,2,1,0,0,3,Matches
568,Eren Dinkçi,de GER,FWMF,Freiburg,de Bundesliga,23-324,2001,2.5,55,86,64.0,850,268,31,40,77.5,19,30,63.3,4,7,57.1,0,0.1,0.3,-0.1,1,4,3,1,6,Matches
569,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24-207,2001,1.7,90,97,92.8,1811,743,26,26,100.0,51,54,94.4,12,15,80.0,0,0.0,0.0,0.0,0,10,0,0,7,Matches
570,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,18-353,2006,5.2,146,190,76.8,2165,589,94,108,87.0,39,53,73.6,11,15,73.3,2,0.7,1.3,+1.3,7,10,6,0,21,Matches
571,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-297,1997,2.5,90,110,81.8,1646,694,39,42,92.9,41,43,95.3,10,19,52.6,0,0.0,0.0,0.0,0,10,0,0,7,Matches
572,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20-174,2005,0.1,2,3,66.7,53,23,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
573,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,25-146,2000,7.0,203,266,76.3,3372,1062,91,109,83.5,89,108,82.4,16,28,57.1,1,1.2,1.4,-0.2,10,27,9,1,46,Matches
574,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-169,2003,0.3,13,15,86.7,172,24,7,8,87.5,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
575,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-169,2003,1.0,33,40,82.5,559,138,15,17,88.2,17,21,81.0,1,1,100.0,0,0.0,0.0,0.0,0,3,2,0,3,Matches
576,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20-309,2004,8.5,284,386,73.6,4467,1617,164,190,86.3,93,121,76.9,21,53,39.6,3,0.7,0.8,+2.3,7,19,8,3,26,Matches
577,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-351,1999,11.0,267,357,74.8,6728,4726,70,71,98.6,115,121,95.0,79,160,49.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
578,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-043,1997,1.5,75,85,88.2,1414,400,32,33,97.0,31,35,88.6,10,13,76.9,0,0.1,0.1,-0.1,2,14,2,1,9,Matches
579,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-178,1987,5.0,242,308,78.6,6295,4870,63,63,100.0,107,109,98.2,72,135,53.3,0,0.0,0.0,0.0,1,7,0,0,0,Matches
580,Djené,tg TOG,DF,Getafe,es La Liga,33-306,1991,8.4,171,226,75.7,3120,1063,70,77,90.9,87,110,79.1,13,36,36.1,0,0.0,0.0,0.0,1,14,0,0,12,Matches
581,Harouna Djibrin,cm CMR,FW,Angers,fr Ligue 1,18-362,2006,0.4,8,10,80.0,124,18,6,6,100.0,1,1,100.0,1,2,50.0,0,0.2,0.3,-0.2,2,0,0,0,0,Matches
582,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-256,1993,8.2,449,510,88.0,7573,2278,207,220,94.1,202,221,91.4,32,47,68.1,0,0.2,0.5,-0.2,2,19,2,0,29,Matches
583,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-282,1992,10.0,191,311,61.4,5742,4580,42,43,97.7,80,80,100.0,68,186,36.6,0,0.0,0.0,0.0,0,7,1,0,0,Matches
584,Ritsu Doan,jp JPN,FWMF,Eint Frankfurt,de Bundesliga,27-139,1998,8.0,231,311,74.3,3331,1039,143,166,86.1,65,93,69.9,15,32,46.9,3,1.9,2.2,+1.1,12,12,14,6,31,Matches
585,Dodô,br BRA,DF,Fiorentina,it Serie A,26-350,1998,8.9,242,347,69.7,4407,1335,100,124,80.6,117,154,76.0,22,54,40.7,0,0.6,0.8,-0.6,8,11,9,7,19,Matches
586,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-125,1998,9.0,211,277,76.2,4023,1587,81,96,84.4,106,122,86.9,20,48,41.7,0,0.4,0.4,-0.4,3,17,3,0,18,Matches
587,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-290,1992,3.2,120,149,80.5,2389,750,48,54,88.9,57,66,86.4,15,25,60.0,0,0.1,0.0,-0.1,1,8,0,0,9,Matches
588,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-168,2002,7.4,223,281,79.4,3507,1437,109,124,87.9,101,126,80.2,7,17,41.2,0,0.2,0.3,-0.2,5,11,5,3,22,Matches
589,Jeremy Doku,be BEL,MFFW,Manchester City,eng Premier League,23-159,2002,5.3,155,193,80.3,2226,560,96,110,87.3,53,61,86.9,4,8,50.0,3,2.6,1.9,+0.4,16,9,15,3,22,Matches
590,Tyrhys Dolan,eng ENG,FWMF,Espanyol,es La Liga,23-309,2001,7.4,132,192,68.8,2074,525,71,87,81.6,49,72,68.1,9,21,42.9,1,1.7,1.4,-0.7,10,10,9,8,14,Matches
591,Marc Domenech,es ESP,FWMF,Mallorca,es La Liga,19-305,2006,2.4,20,41,48.8,260,83,13,19,68.4,5,10,50.0,1,5,20.0,1,0.4,0.2,+0.6,2,0,3,1,4,Matches
592,Benjamín Domínguez,ar ARG,FWMF,Bologna,it Serie A,22-044,2003,1.2,28,35,80.0,399,42,14,18,77.8,13,13,100.0,0,3,0.0,1,0.1,0.1,+0.9,2,3,0,0,3,Matches
593,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-264,2001,4.5,275,295,93.2,4781,1714,105,107,98.1,156,160,97.5,13,25,52.0,0,0.1,0.0,-0.1,1,9,0,0,8,Matches
594,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,eng Premier League,27-127,1998,0.6,44,45,97.8,809,283,18,18,100.0,20,21,95.2,6,6,100.0,0,0.0,0.0,0.0,1,15,1,0,6,Matches
595,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-082,1995,5.1,104,156,66.7,1780,605,45,58,77.6,42,56,75.0,12,29,41.4,0,1.3,1.4,-1.3,14,7,14,6,19,Matches
596,John Donald,es ESP,MFDF,Elche,es La Liga,25-064,2000,1.8,97,111,87.4,1378,356,53,59,89.8,38,40,95.0,2,4,50.0,0,0.0,0.0,0.0,0,7,0,0,5,Matches
597,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-250,1999,6.0,125,163,76.7,2958,1998,31,31,100.0,61,62,98.4,32,67,47.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
598,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,21-007,2004,6.1,169,236,71.6,2433,561,102,132,77.3,55,77,71.4,6,14,42.9,1,0.9,0.6,+0.1,7,5,7,3,8,Matches
599,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-291,1998,5.7,176,203,86.7,3445,979,57,64,89.1,87,97,89.7,25,31,80.6,0,0.1,0.3,-0.1,4,25,3,1,27,Matches
600,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-049,2002,0.9,39,42,92.9,766,118,15,16,93.8,17,17,100.0,6,6,100.0,0,0.1,0.0,-0.1,4,4,1,0,9,Matches
601,Fodé Doucouré,ml MLI,MFFW,Le Havre,fr Ligue 1,24-272,2001,5.7,161,227,70.9,2511,744,97,108,89.8,48,66,72.7,11,34,32.4,0,2.0,0.9,-2.0,10,8,8,3,17,Matches
602,Désiré Doué,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-152,2005,3.5,179,217,82.5,2633,451,109,124,87.9,58,69,84.1,8,16,50.0,1,0.8,0.5,+0.2,9,5,5,1,17,Matches
603,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,23-016,2002,5.3,268,313,85.6,4538,1710,116,128,90.6,135,156,86.5,14,22,63.6,3,1.2,0.8,+1.8,6,30,3,3,34,Matches
604,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,22-101,2003,7.2,387,438,88.4,6434,2124,171,181,94.5,194,208,93.3,14,27,51.9,1,0.5,0.2,+0.5,2,18,1,0,24,Matches
605,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-257,2003,6.9,175,224,78.1,2970,742,91,109,83.5,62,74,83.8,18,33,54.5,1,0.7,0.7,+0.3,7,22,4,0,26,Matches
606,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-092,1999,4.8,66,86,76.7,1037,238,35,42,83.3,23,28,82.1,6,8,75.0,0,0.4,0.2,-0.4,4,7,4,0,11,Matches
607,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-134,1997,3.0,47,66,71.2,516,68,31,37,83.8,8,13,61.5,0,0,,1,1.0,0.4,0.0,8,2,3,0,5,Matches
608,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-306,2009,0.3,4,4,100.0,66,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
609,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-237,1995,8.5,155,212,73.1,3345,1212,49,54,90.7,82,96,85.4,23,56,41.1,0,0.0,0.0,0.0,0,14,0,0,12,Matches
610,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-291,1989,10.0,195,358,54.5,6392,4893,38,38,100.0,82,83,98.8,75,236,31.8,0,0.0,0.0,0.0,0,10,0,0,0,Matches
611,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-198,1996,7.0,176,239,73.6,2736,539,87,107,81.3,78,100,78.0,8,19,42.1,0,0.9,0.6,-0.9,8,5,6,1,13,Matches
612,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-346,1991,10.0,659,715,92.2,11575,3446,268,275,97.5,346,364,95.1,33,56,58.9,0,0.0,0.1,0.0,1,36,0,0,35,Matches
613,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,24-161,2001,4.7,67,107,62.6,1009,181,32,41,78.0,27,43,62.8,5,10,50.0,0,0.1,0.2,-0.1,1,4,4,0,10,Matches
614,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-357,1999,6.6,97,135,71.9,1283,197,57,77,74.0,32,41,78.0,1,2,50.0,0,0.3,0.3,-0.3,4,7,0,0,9,Matches
615,Paulo Dybala,ar ARG,FWMF,Roma,it Serie A,31-352,1993,4.1,149,201,74.1,2442,737,75,85,88.2,43,59,72.9,19,33,57.6,1,1.0,1.4,0.0,16,12,11,1,21,Matches
616,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-230,1986,1.6,41,54,75.9,637,93,19,24,79.2,18,22,81.8,2,3,66.7,0,0.4,0.0,-0.4,2,4,1,1,5,Matches
617,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-038,1995,4.5,203,244,83.2,3202,1391,108,114,94.7,75,91,82.4,14,27,51.9,0,0.0,0.1,0.0,0,15,1,0,13,Matches
618,Aron Dønnum,no NOR,MFFW,Toulouse,fr Ligue 1,27-196,1998,10.0,293,405,72.3,5651,2161,117,133,88.0,128,165,77.6,45,86,52.3,2,2.0,2.2,0.0,20,40,23,5,60,Matches
619,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-078,2004,3.7,75,93,80.6,1016,179,42,50,84.0,28,33,84.8,1,4,25.0,0,0.0,0.1,0.0,1,5,2,0,8,Matches
620,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-236,1999,0.6,26,30,86.7,506,229,7,8,87.5,10,11,90.9,5,6,83.3,0,0.0,0.0,0.0,0,3,1,0,4,Matches
621,Claudio Echeverri,ar ARG,MFFW,Leverkusen,de Bundesliga,19-304,2006,1.2,53,58,91.4,784,137,30,31,96.8,20,23,87.0,2,3,66.7,0,0.1,0.2,-0.1,1,3,2,0,5,Matches
622,Éderson,br BRA,MF,Atalanta,it Serie A,26-118,1999,5.0,286,319,89.7,5370,1530,112,124,90.3,146,157,93.0,24,34,70.6,0,0.0,0.4,0.0,1,31,6,0,38,Matches
623,Noah Edjouma,fr FRA,FWMF,Toulouse,fr Ligue 1,20-029,2005,2.1,36,53,67.9,595,118,19,25,76.0,15,21,71.4,2,4,50.0,0,0.4,0.5,-0.4,5,1,3,2,3,Matches
624,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-290,1998,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
625,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-290,1998,4.1,55,68,80.9,698,198,36,42,85.7,15,20,75.0,2,2,100.0,0,0.4,0.3,-0.4,2,5,2,0,8,Matches
626,Marcus Edwards,eng ENG,MFFW,Burnley,eng Premier League,26-334,1998,0.2,3,5,60.0,32,5,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
627,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-304,2003,4.3,344,368,93.5,6213,2153,122,126,96.8,195,204,95.6,23,31,74.2,0,0.7,0.4,-0.7,2,24,2,0,23,Matches
628,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-329,1996,9.0,318,390,81.5,5003,1429,148,181,81.8,138,157,87.9,17,30,56.7,0,0.6,0.7,-0.6,5,27,4,0,38,Matches
629,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-161,1995,5.2,125,177,70.6,2271,697,41,50,82.0,70,86,81.4,11,26,42.3,0,0.0,0.1,0.0,0,7,2,1,8,Matches
630,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-349,1997,1.7,57,66,86.4,822,194,28,28,100.0,26,28,92.9,1,2,50.0,0,0.1,0.4,-0.1,1,4,2,0,7,Matches
631,Chidera Ejuke,ng NGA,FWMF,Sevilla,es La Liga,27-304,1998,2.6,82,103,79.6,1389,222,39,45,86.7,35,40,87.5,6,10,60.0,1,0.8,0.4,+0.2,5,5,6,1,11,Matches
632,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27-012,1998,5.9,138,165,83.6,2390,825,64,68,94.1,63,71,88.7,11,20,55.0,0,0.1,0.2,-0.1,2,5,0,0,6,Matches
633,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,18-356,2006,3.1,34,62,54.8,453,59,23,35,65.7,7,15,46.7,3,3,100.0,0,0.1,0.1,-0.1,3,2,0,0,3,Matches
634,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-135,2002,6.4,81,115,70.4,1025,211,53,70,75.7,23,30,76.7,2,2,100.0,1,0.4,0.3,+0.6,5,3,4,0,10,Matches
635,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-211,2000,3.4,63,84,75.0,910,181,32,36,88.9,24,33,72.7,3,7,42.9,0,0.3,0.1,-0.3,3,7,1,0,6,Matches
636,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-075,2003,6.3,170,227,74.9,2505,1140,95,106,89.6,60,83,72.3,9,21,42.9,0,0.7,0.5,-0.7,6,11,5,4,17,Matches
637,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-224,1994,2.8,35,52,67.3,458,83,20,25,80.0,13,18,72.2,0,2,0.0,0,0.3,0.4,-0.3,4,1,1,0,5,Matches
638,Anthony Elanga,se SWE,FWMF,Newcastle Utd,eng Premier League,23-189,2002,4.3,105,160,65.6,1405,347,66,85,77.6,28,44,63.6,5,18,27.8,0,0.6,0.3,-0.6,6,5,6,5,6,Matches
639,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-210,1997,7.3,354,370,95.7,6300,1880,127,129,98.4,204,211,96.7,17,22,77.3,0,0.3,0.4,-0.3,2,11,0,0,21,Matches
640,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-191,1993,7.0,243,277,87.7,4549,2135,81,86,94.2,132,140,94.3,25,43,58.1,0,0.2,0.3,-0.2,2,9,0,0,9,Matches
641,Mikael Ellertsson,is ISL,FWDF,Genoa,it Serie A,23-236,2002,7.8,141,191,73.8,2145,823,76,89,85.4,57,78,73.1,6,16,37.5,0,0.3,0.5,-0.3,5,6,3,1,16,Matches
642,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,22-212,2003,0.0,4,8,50.0,52,7,3,6,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
643,Harvey Elliott,eng ENG,MFFW,Aston Villa,eng Premier League,22-212,2003,1.1,53,62,85.5,688,107,39,41,95.1,11,13,84.6,1,5,20.0,0,0.0,0.1,0.0,0,6,1,1,5,Matches
644,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,26-039,1999,2.8,87,105,82.9,1393,392,47,52,90.4,34,41,82.9,5,5,100.0,0,0.2,0.3,-0.2,3,9,3,0,13,Matches
645,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-219,1994,1.1,38,46,82.6,671,206,20,21,95.2,15,19,78.9,3,3,100.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches
646,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-033,1996,9.0,484,518,93.4,8348,2705,197,207,95.2,258,267,96.6,23,33,69.7,0,0.0,0.2,0.0,2,23,3,0,35,Matches
647,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-261,1997,5.2,47,78,60.3,621,139,25,43,58.1,11,15,73.3,4,5,80.0,0,0.2,0.2,-0.2,4,3,3,1,7,Matches
648,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-272,2003,2.5,16,19,84.2,185,25,9,10,90.0,2,2,100.0,1,1,100.0,2,1.2,0.1,+0.8,2,2,0,0,1,Matches
649,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-109,2004,3.3,29,41,70.7,348,51,18,23,78.3,8,10,80.0,0,0,,1,0.1,0.1,+0.9,3,1,1,0,5,Matches
650,Julio Enciso,py PAR,MFFW,Strasbourg,fr Ligue 1,21-283,2004,1.8,45,59,76.3,567,150,27,33,81.8,15,16,93.8,0,2,0.0,0,0.1,0.1,-0.1,1,4,0,0,9,Matches
651,Wataru Endo,jp JPN,MFDF,Liverpool,eng Premier League,32-266,1993,0.4,19,22,86.4,283,79,14,16,87.5,3,4,75.0,2,2,100.0,1,0.1,0.0,+0.9,1,3,0,0,1,Matches
652,Endrick,br BRA,FW,Real Madrid,es La Liga,19-104,2006,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
653,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-268,2001,6.0,228,257,88.7,3622,817,112,126,88.9,102,106,96.2,8,12,66.7,1,0.2,0.2,+0.8,1,15,4,1,18,Matches
654,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-261,1992,2.7,88,119,73.9,1466,487,46,52,88.5,31,39,79.5,10,19,52.6,1,0.2,0.4,+0.8,4,11,3,1,10,Matches
655,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-036,1995,10.0,256,355,72.1,7218,5175,49,49,100.0,115,120,95.8,92,185,49.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
656,Carlos Espí,es ESP,FW,Levante,es La Liga,20-101,2005,0.4,6,9,66.7,61,4,5,6,83.3,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
657,Alfonso Espino,uy URU,DFFW,Rayo Vallecano,es La Liga,33-301,1992,1.4,74,103,71.8,1297,394,25,29,86.2,41,52,78.8,6,16,37.5,0,0.2,0.4,-0.2,2,6,2,1,5,Matches
658,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-127,2005,3.2,58,80,72.5,768,131,32,42,76.2,15,21,71.4,3,5,60.0,0,0.2,0.3,-0.2,3,2,3,0,8,Matches
659,Sebastiano Esposito,it ITA,FWMF,Cagliari,it Serie A,23-123,2002,6.5,127,191,66.5,2252,940,61,73,83.6,44,61,72.1,17,32,53.1,0,0.5,0.7,-0.5,10,13,8,2,33,Matches
