,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
142,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,11,6,3,6,2,1,19,5.3,18,355,99,27.9,43,160,152,29,3,0,26,17,28,22,0,Matches
143,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,9,7,4,3,2,4,13,30.8,9,123,32,26.0,11,66,46,7,3,0,4,7,16,2,0,Matches
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,30,19,6,22,2,8,22,36.4,14,181,65,35.9,46,104,31,11,2,0,9,15,45,12,0,Matches
145,Youcef Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,10.6,31,22,16,13,2,19,35,54.3,16,131,37,28.2,52,53,26,14,2,0,12,26,57,14,0,Matches
146,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,17,5,8,7,2,4,20,20.0,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0,Matches
147,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,0,0,0,0,0,0,1,0.0,1,6,2,33.3,6,0,0,0,0,0,0,0,0,0,0,Matches
148,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,50,25,35,12,3,20,40,50.0,20,342,119,34.8,163,107,72,51,2,0,49,39,89,89,1,Matches
149,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,1,1,0,1,0,1,1,100.0,0,8,4,50.0,0,7,1,0,0,0,0,0,1,0,0,Matches
150,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,21.7,42,17,22,14,6,16,32,50.0,16,277,98,35.4,115,103,59,50,8,0,42,14,56,67,0,Matches
151,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,Matches
152,Charlie Austin,eng ENG,FW,West Brom,eng Premier League,31,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
153,Ezequiel Ávila,ar ARG,MFFW,Osasuna,es La Liga,26,1994,2.2,3,2,1,1,1,1,2,50.0,1,29,3,10.3,6,12,11,3,0,0,3,1,4,1,0,Matches
154,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,8,6,4,4,0,1,12,8.3,11,207,75,36.2,23,99,85,14,2,0,12,4,12,4,0,Matches
155,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,14,6,5,9,0,5,12,41.7,7,91,24,26.4,39,37,15,10,0,0,10,9,23,16,0,Matches
156,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,52,33,8,28,16,14,45,31.1,31,678,159,23.5,143,347,188,29,2,0,27,29,81,12,0,Matches
157,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,15,11,7,6,2,7,13,53.8,6,79,34,43.0,41,32,6,16,4,0,12,8,23,42,0,Matches
158,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,114,67,70,34,10,42,89,47.2,47,533,187,35.1,283,197,53,81,34,1,47,58,172,111,2,Matches
159,Ramon Azeez,ng NGA,MFDF,Granada,es La Liga,27,1992,1.1,3,3,1,2,0,1,1,100.0,0,13,5,38.5,2,9,2,2,0,0,2,0,3,2,0,Matches
160,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,52,31,23,23,6,21,35,60.0,14,346,106,30.6,153,141,52,37,7,0,30,37,89,97,1,Matches
161,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,34,1986,3.3,7,4,4,3,0,1,2,50.0,1,59,13,22.0,33,22,4,8,1,0,7,2,9,8,0,Matches
162,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,8,7,4,3,1,1,5,20.0,4,126,27,21.4,11,46,69,4,0,0,4,4,12,1,0,Matches
163,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29.0,71,38,56,15,0,26,52,50.0,26,314,117,37.3,198,114,2,56,19,0,37,52,123,225,2,Matches
164,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,64,46,30,26,8,21,85,24.7,64,459,128,27.9,166,220,73,60,10,0,50,92,156,46,0,Matches
165,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30.0,0,0,0,0,0,0,4,0.0,4,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2,Matches
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,1,0,0,0,1,0,2,0.0,2,29,3,10.3,4,17,8,2,1,0,1,3,4,0,0,Matches
167,Miguel Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,6.0,9,5,4,5,0,4,9,44.4,5,103,22,21.4,41,47,15,2,0,0,2,6,15,4,0,Matches
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18.0,18,13,1,12,5,5,11,45.5,6,282,74,26.2,20,124,138,12,0,0,12,11,29,12,0,Matches
169,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,23.8,21,12,5,10,6,6,19,31.6,13,247,74,30.0,42,111,94,15,0,0,15,18,39,9,0,Matches
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,9,6,5,3,1,1,1,100.0,0,55,22,40.0,27,26,2,17,15,0,2,22,31,51,0,Matches
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,78,53,25,44,9,16,35,45.7,19,365,123,33.7,116,197,52,26,3,0,23,28,106,25,0,Matches
173,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,18.8,43,28,26,9,8,14,24,58.3,10,192,67,34.9,63,74,55,35,2,0,33,17,60,27,0,Matches
174,Ridle Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,29.8,55,27,22,26,7,22,53,41.5,31,518,161,31.1,157,191,170,75,4,0,71,47,102,36,1,Matches
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2.0,5,2,3,2,0,0,5,0.0,5,22,6,27.3,11,9,2,5,0,0,5,4,9,5,0,Matches
176,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,0.6,2,2,0,2,0,0,0,,0,16,2,12.5,5,9,2,1,0,0,1,1,3,0,0,Matches
177,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,13.3,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,Matches
178,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,10,7,2,6,2,3,7,42.9,4,228,49,21.5,12,98,118,7,1,0,6,3,13,6,0,Matches
179,George Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,27,1993,31.0,55,27,31,17,7,24,49,49.0,25,464,113,24.4,198,174,92,46,8,1,38,35,90,82,0,Matches
180,Gareth Bale,wls WAL,FW,Tottenham,eng Premier League,31,1989,10.2,14,9,4,6,4,4,13,30.8,9,125,34,27.2,27,54,44,16,2,0,14,9,23,17,0,Matches
181,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,27,15,15,10,2,6,18,33.3,12,206,56,27.2,84,90,32,34,6,0,28,13,40,62,0,Matches
182,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,18.2,40,21,29,8,3,12,35,34.3,23,238,86,36.1,134,91,13,32,11,0,21,34,74,96,2,Matches
183,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,23,1997,7.4,25,18,16,8,1,5,14,35.7,9,105,35,33.3,42,43,20,14,0,0,14,5,30,12,0,Matches
184,Botond Balogh,hu HUN,DF,Parma,it Serie A,18,2002,1.8,6,3,6,0,0,2,3,66.7,1,33,8,24.2,25,7,1,7,3,0,4,1,7,7,0,Matches
185,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,15.0,31,17,20,9,2,10,20,50.0,10,171,60,35.1,96,50,25,24,1,0,23,18,49,42,1,Matches
186,Jonathan Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,33.2,43,32,16,20,7,13,72,18.1,59,467,139,29.8,107,201,159,32,1,0,31,28,71,13,0,Matches
187,Robson Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,11.6,20,13,16,4,0,7,13,53.8,6,101,41,40.6,60,33,8,12,8,0,4,12,32,65,0,Matches
188,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,33.9,26,18,6,12,8,6,30,20.0,24,605,172,28.4,33,261,311,16,9,1,7,13,39,35,0,Matches
189,Mattia Bani,it ITA,DF,Genoa,it Serie A,26,1993,10.2,13,8,7,6,0,4,10,40.0,6,143,41,28.7,86,49,8,31,14,0,17,18,31,55,1,Matches
190,Mattia Bani,it ITA,DF,Parma,it Serie A,26,1993,12.7,20,11,15,4,1,6,10,60.0,4,165,66,40.0,105,52,8,16,7,0,9,24,44,74,0,Matches
191,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,23,1996,15.2,18,10,1,6,11,1,11,9.1,10,178,52,29.2,9,82,87,20,3,0,17,5,23,13,0,Matches
192,Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,25,1994,30.7,40,29,15,17,8,12,47,25.5,35,535,149,27.9,128,270,137,47,9,0,38,18,58,40,1,Matches
193,Federico Barba,it ITA,DF,Benevento,it Serie A,26,1993,29.5,34,20,24,8,2,10,24,41.7,14,300,91,30.3,173,104,23,52,18,0,34,57,91,117,4,Matches
194,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,24,1996,2.8,5,3,4,1,0,3,7,42.9,4,20,7,35.0,11,8,1,3,1,0,2,1,6,13,1,Matches
195,Barcia,es ESP,DF,Granada,es La Liga,19,2000,1.0,2,0,2,0,0,0,0,,0,12,0,0.0,7,5,0,2,1,0,1,1,3,7,0,Matches
196,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,19,2000,4.8,16,11,11,5,0,7,14,50.0,7,93,34,36.6,42,41,10,12,2,0,10,6,22,18,0,Matches
197,Enis Bardhi,mk MKD,MF,Levante,es La Liga,25,1995,18.7,29,22,13,11,5,12,41,29.3,29,308,101,32.8,82,141,85,17,2,0,15,32,61,20,0,Matches
198,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,35,1985,3.0,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches
199,Nicolò Barella,it ITA,MF,Inter,it Serie A,23,1997,32.2,61,41,25,28,8,16,60,26.7,44,568,154,27.1,161,266,141,46,8,0,38,32,93,13,0,Matches
200,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,31,1989,0.3,1,1,0,1,0,0,0,,0,10,7,70.0,6,4,0,0,0,0,0,1,2,2,0,Matches
201,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,23,1997,15.9,12,8,9,2,1,5,21,23.8,16,275,69,25.1,60,132,83,18,2,0,16,23,35,12,0,Matches
202,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,26,1993,17.0,6,2,2,4,0,3,12,25.0,9,245,58,23.7,35,143,67,19,2,0,17,5,11,8,0,Matches
203,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,26,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
204,Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22,1998,10.9,31,18,12,7,12,10,30,33.3,20,289,85,29.4,58,124,107,20,1,0,19,14,45,9,0,Matches
205,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,30,1989,14.8,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0,Matches
206,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,22,1997,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,Matches
207,Marc Baró,es ESP,DF,Cádiz,es La Liga,20,1999,1.0,2,1,2,0,0,0,2,0.0,2,13,2,15.4,8,5,0,2,0,0,2,3,5,1,1,Matches
208,Antonio Barragán,es ESP,DF,Elche,es La Liga,33,1987,24.8,28,14,22,5,1,8,24,33.3,16,189,41,21.7,117,58,14,38,11,0,27,30,58,70,1,Matches
209,Antonio Barreca,it ITA,DF,Fiorentina,it Serie A,25,1995,0.9,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0,Matches
210,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,20,2000,25.6,68,39,27,27,14,15,49,30.6,34,580,173,29.8,172,287,121,61,12,0,49,50,118,63,0,Matches
211,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,18,2001,14.5,32,20,9,13,10,8,32,25.0,24,344,96,27.9,81,156,107,28,1,0,27,12,44,10,0,Matches
212,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,25,1994,12.3,21,13,11,9,1,6,14,42.9,8,152,41,27.0,79,55,18,40,6,0,34,23,44,37,0,Matches
213,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,21,1998,32.5,21,8,6,9,6,4,28,14.3,24,463,120,25.9,100,166,197,44,4,0,40,14,35,18,0,Matches
214,Kyle Bartley,eng ENG,DF,West Brom,eng Premier League,29,1991,28.7,26,18,15,10,1,10,32,31.3,22,231,76,32.9,135,82,14,74,37,1,37,31,57,202,2,Matches
215,Paolo Bartolomei,it ITA,MF,Spezia,it Serie A,30,1989,3.6,7,2,3,1,3,1,2,50.0,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0,Matches
216,Marc Bartra,es ESP,DF,Betis,es La Liga,29,1991,18.8,30,10,17,12,1,9,21,42.9,12,207,65,31.4,108,89,10,27,6,0,21,24,54,101,3,Matches
217,Daniele Baselli,it ITA,MF,Torino,it Serie A,28,1992,4.4,11,10,2,6,3,5,9,55.6,4,103,36,35.0,36,47,20,5,0,0,5,6,17,6,0,Matches
218,Chris Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32,1988,28.6,76,46,48,22,6,37,70,52.9,33,383,115,30.0,201,137,45,49,15,5,34,45,121,124,1,Matches
219,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,23,1996,28.9,31,22,15,14,2,10,53,18.9,43,502,122,24.3,173,256,73,28,4,0,24,23,54,49,0,Matches
220,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,16,2004,0.4,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
221,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,21,1999,32.5,44,26,18,23,3,17,30,56.7,13,296,87,29.4,141,124,31,48,20,0,28,37,81,87,1,Matches
222,Simone Bastoni,it ITA,DF,Spezia,it Serie A,23,1996,16.9,55,29,31,19,5,26,47,55.3,21,264,76,28.8,99,122,43,21,1,0,20,22,77,40,0,Matches
223,Bastos,ao ANG,DF,Lazio,it Serie A,29,1991,0.7,4,2,2,1,1,0,1,0.0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0,Matches
224,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,26,1993,8.1,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,Matches
225,Rodrigo Battaglia,ar ARG,MF,Alavés,es La Liga,29,1991,27.7,53,32,22,25,6,18,52,34.6,34,476,133,27.9,179,253,44,42,15,0,27,18,71,55,0,Matches
226,Cristian Battocchio,it ITA,MFFW,Brest,fr Ligue 1,28,1992,3.9,5,3,1,4,0,2,8,25.0,6,51,10,19.6,9,33,9,2,0,0,2,3,8,5,0,Matches
227,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31.0,0,0,0,0,0,0,0,,0,5,1,20.0,5,0,0,0,0,0,0,0,0,2,0,Matches
228,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,32,1988,11.9,46,28,18,25,3,16,34,47.1,18,198,83,41.9,57,115,26,20,0,0,20,17,63,19,0,Matches
229,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,20,1999,26.3,53,38,20,23,10,14,60,23.3,46,572,183,32.0,121,282,169,46,9,0,37,19,72,19,0,Matches
230,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,25,1995,4.1,6,5,0,4,2,0,5,0.0,5,83,21,25.3,4,43,36,5,2,0,3,2,8,4,0,Matches
231,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32,1988,29.0,33,24,22,9,2,10,20,50.0,10,222,91,41.0,134,79,9,40,23,0,17,37,70,169,3,Matches
232,Noah Joel Sarenren Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,23,1996,0.4,1,1,0,1,0,1,1,100.0,0,10,3,30.0,1,9,0,1,0,0,1,2,3,0,0,Matches
233,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,26,1994,24.4,30,20,8,12,10,8,15,53.3,7,361,116,32.1,34,140,187,26,7,0,19,13,43,21,1,Matches
234,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,24,1996,30.9,68,37,39,25,4,20,47,42.6,27,413,142,34.4,248,133,32,56,31,0,25,47,115,123,2,Matches
235,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,25,1995,12.3,8,7,3,3,2,3,5,60.0,2,129,39,30.2,22,62,45,10,0,0,10,5,13,5,0,Matches
236,Timo Becker,de GER,DF,Schalke 04,de Bundesliga,23,1997,18.2,38,19,34,4,0,15,29,51.7,14,264,87,33.0,148,93,23,42,5,0,37,33,71,49,1,Matches
237,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,24,1996,34.4,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1,Matches
238,Donny van de Beek,nl NED,MFFW,Manchester Utd,eng Premier League,23,1997,5.8,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0,Matches
239,Valon Behrami,ch SUI,MF,Genoa,it Serie A,35,1985,9.9,22,14,9,12,1,9,23,39.1,14,279,58,20.8,109,136,34,22,3,0,19,6,28,16,0,Matches
240,Brian Behrendt,de GER,DF,Arminia,de Bundesliga,28,1991,0.9,2,1,0,2,0,0,1,0.0,1,13,3,23.1,5,8,0,0,0,0,0,0,2,1,0,Matches
241,Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,17,2002,0.1,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0,Matches
242,Ishak Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,28,1992,6.6,3,2,1,0,2,0,1,0.0,1,54,13,24.1,5,13,36,3,1,0,2,0,3,4,0,Matches
243,Erwan Belhadji,fr FRA,MF,Dijon,fr Ligue 1,19,2001,0.3,3,0,3,0,0,2,3,66.7,1,13,3,23.1,5,8,0,3,0,0,3,0,3,0,0,Matches
244,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,26,1994,30.3,73,50,38,30,5,22,72,30.6,50,593,159,26.8,231,294,68,52,8,0,44,37,110,45,0,Matches
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,28,1991,14.1,25,17,20,5,0,10,20,50.0,10,130,57,43.8,77,47,6,23,12,0,11,38,63,127,1,Matches
246,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,30,1990,8.9,16,12,4,5,7,4,22,18.2,18,144,39,27.1,31,66,47,11,0,0,11,13,29,8,0,Matches
247,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22,1998,23.2,58,43,28,17,13,13,30,43.3,17,394,126,32.0,134,171,89,29,2,1,27,18,76,17,1,Matches
248,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,25,1995,23.2,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0,Matches
249,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17,2003,18.9,54,37,14,27,13,18,50,36.0,32,435,127,29.2,96,231,108,40,6,0,34,21,75,20,0,Matches
250,Andrea Belotti,it ITA,FW,Torino,it Serie A,26,1993,32.1,31,26,2,18,11,7,29,24.1,22,387,100,25.8,46,177,164,33,5,0,28,8,39,17,0,Matches
251,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,21,1999,15.5,35,21,20,11,4,8,29,27.6,21,343,111,32.4,136,162,45,22,2,0,20,17,52,23,1,Matches
252,Sami Ben Amar,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0,Matches
253,Hatem Ben Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,33,1987,18.9,12,11,1,9,2,1,9,11.1,8,174,65,37.4,20,79,75,2,0,0,2,5,17,0,0,Matches
254,Salim Ben Seghir,fr FRA,DF,Nice,fr Ligue 1,17,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,29,1990,29.0,19,14,3,9,7,3,13,23.1,10,346,97,28.0,21,155,170,19,2,0,17,10,29,4,0,Matches
256,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,28,1992,13.5,29,22,16,13,0,13,46,28.3,33,276,78,28.3,114,116,46,13,2,0,11,10,39,19,0,Matches
257,Samy Benchama,fr FRA,MFDF,Montpellier,fr Ligue 1,20,2000,0.5,2,1,1,1,0,0,1,0.0,1,14,3,21.4,7,6,1,0,0,0,0,0,2,1,0,Matches
258,Lars Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,10.4,19,13,11,6,2,9,22,40.9,13,132,44,33.3,49,63,20,26,7,0,19,8,27,27,0,Matches
259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,13.0,18,12,9,6,3,6,19,31.6,13,131,48,36.6,59,65,7,26,9,0,17,14,32,64,0,Matches
260,Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30,1990,17.5,7,2,1,4,2,3,11,27.3,8,188,41,21.8,8,94,86,13,3,0,10,3,10,16,0,Matches
261,László Bénes,sk SVK,MFFW,Augsburg,de Bundesliga,22,1997,7.3,7,5,5,2,0,3,7,42.9,4,130,37,28.5,36,75,19,7,2,0,5,9,16,4,1,Matches
262,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,22,1997,1.7,6,2,5,1,0,2,3,66.7,1,20,5,25.0,7,12,1,3,1,0,2,4,10,2,0,Matches
263,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38.0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,3,0,0,1,0,0,1,0,0,0,2,Matches
264,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,28,1992,29.5,49,33,34,12,3,25,50,50.0,25,297,92,31.0,150,111,36,49,11,1,38,40,89,92,0,Matches
265,Sergio Benito,es ESP,FW,Valladolid,es La Liga,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
266,Bilal Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,0.8,0,0,0,0,0,0,2,0.0,2,27,9,33.3,4,14,9,2,0,0,2,0,0,0,0,Matches
267,Djamel Benlamri,dz ALG,DF,Lyon,fr Ligue 1,30,1989,1.7,5,4,4,1,0,4,8,50.0,4,16,7,43.8,12,4,0,7,3,0,4,6,11,13,0,Matches
268,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,22,1997,14.7,38,24,20,18,0,14,32,43.8,18,295,90,30.5,119,149,27,19,2,0,17,22,60,17,0,Matches
269,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,24,1995,15.5,31,21,10,15,6,8,28,28.6,20,287,73,25.4,81,142,64,15,0,0,15,13,44,10,0,Matches
270,Yassine Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,21,1999,13.8,17,8,6,7,4,5,22,22.7,17,248,73,29.4,67,108,73,17,0,0,17,6,23,9,1,Matches
271,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,25,1995,20.1,45,25,31,11,3,30,52,57.7,22,255,73,28.6,126,98,31,55,9,0,46,63,108,107,1,Matches
272,Josh Benson,eng ENG,MF,Burnley,eng Premier League,20,1999,2.9,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,Matches
273,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,25,1994,6.1,13,6,7,5,1,3,16,18.8,13,113,24,21.2,49,46,18,11,2,0,9,3,16,7,0,Matches
274,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,23,1997,25.8,74,45,27,38,9,15,54,27.8,39,537,158,29.4,169,274,94,56,16,0,40,48,122,45,1,Matches
275,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,29,1990,20.2,13,9,1,5,7,0,8,0.0,8,240,57,23.8,16,129,95,17,6,1,11,5,18,37,0,Matches
276,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,32,1987,32.2,12,7,4,3,5,5,9,55.6,4,245,42,17.1,31,87,127,12,5,0,7,14,26,21,0,Matches
277,Yassine Benzia,dz ALG,MFFW,Dijon,fr Ligue 1,25,1994,4.5,11,5,5,3,3,6,14,42.9,8,119,24,20.2,35,67,17,2,0,0,2,8,19,2,0,Matches
278,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
279,Domenico Berardi,it ITA,FWMF,Sassuolo,it Serie A,25,1994,27.5,39,23,17,8,14,14,55,25.5,41,430,138,32.1,131,170,129,37,2,0,35,35,74,39,0,Matches
280,Gaetano Berardi,ch SUI,DF,Leeds United,eng Premier League,31,1988,1.3,3,2,2,0,1,1,1,100.0,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0,Matches
281,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,18.7,33,23,22,8,3,13,36,36.1,23,236,82,34.7,103,88,45,23,1,0,22,16,49,30,0,Matches
282,Álex Berenguer,es ESP,MF,Torino,it Serie A,25,1995,1.5,0,0,0,0,0,0,4,0.0,4,38,4,10.5,7,25,6,5,1,0,4,0,0,1,0,Matches
283,Álex Berenguer,es ESP,MFFW,Athletic Club,es La Liga,25,1995,25.3,50,31,24,20,6,9,54,16.7,45,625,158,25.3,159,276,190,62,3,0,59,24,74,30,0,Matches
284,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,28,1992,29.0,72,46,42,23,7,22,59,37.3,37,427,141,33.0,205,163,59,78,21,1,57,34,106,80,3,Matches
